source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
aleitner_C1409_043	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_043	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_043.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_043.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_100	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_100	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_100.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_100.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_069	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_069	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_069.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_069.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_054	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_054	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_054.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_054.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_097	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_097	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_097.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_097.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_061	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_061	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_061.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_061.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_089	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_089	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_089.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_089.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_109	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_109	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_109.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_109.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_036	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_036	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_036.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_036.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_074	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_074	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_074.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_074.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
