source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
mtob2_f127	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mtob2_f127	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mtob2_f127.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mtob2_f127.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_kidney_32d_2	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	2	20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_kidney_32d_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_kidney_32d_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_kidney_32d_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
20220202_BoxCarmax2ed_wideMS1_JM_pSIL_pro_SubstantiaNigra_16d_1	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	20220202_BoxCarmax2ed_wideMS1_JM_pSIL_pro_SubstantiaNigra_16d_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20220202_BoxCarmax2ed_wideMS1_JM_pSIL_pro_SubstantiaNigra_16d_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/20220202_BoxCarmax2ed_wideMS1_JM_pSIL_pro_SubstantiaNigra_16d_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
mtob2_f033	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mtob2_f033	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mtob2_f033.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mtob2_f033.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
mtob2_f126	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mtob2_f126	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mtob2_f126.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mtob2_f126.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
mt_2_b2_f86	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mt_2_b2_f86	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	86	1	mt_2_b2_f86.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mt_2_b2_f86.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
mtob2_f149	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mtob2_f149	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mtob2_f149.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mtob2_f149.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20210709_JM_pSIL_phos_Subthalamic_Nucleus_32d_1	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	20210709_JM_pSIL_phos_Subthalamic_Nucleus_32d_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20210709_JM_pSIL_phos_Subthalamic_Nucleus_32d_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/20210709_JM_pSIL_phos_Subthalamic_Nucleus_32d_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20210709_JM_pSIL_phos_kidney_8d_3	mus musculus	kidney	not applicable	not available	enrichment of phosphorylated protein	3	20210709_JM_pSIL_phos_kidney_8d_3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20210709_JM_pSIL_phos_kidney_8d_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/20210709_JM_pSIL_phos_kidney_8d_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
20210805_BoxCarmax3rd_wideMS1_JM_pSIL_pro_plasma_8d_1	mus musculus	blood plasma	not applicable	not available	enrichment of phosphorylated protein	1	20210805_BoxCarmax3rd_wideMS1_JM_pSIL_pro_plasma_8d_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20210805_BoxCarmax3rd_wideMS1_JM_pSIL_pro_plasma_8d_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/20210805_BoxCarmax3rd_wideMS1_JM_pSIL_pro_plasma_8d_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	blood plasma
mt_2_b2_f04	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mt_2_b2_f04	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	4	1	mt_2_b2_f04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mt_2_b2_f04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
pt_wt_b1_f016	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	pt_wt_b1_f016	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	pt_wt_b1_f016.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/pt_wt_b1_f016.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20220202_BoxCarmax4th_wideMS1_JM_pSIL_pro_SubthalamicNucleus_32d_1	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	20220202_BoxCarmax4th_wideMS1_JM_pSIL_pro_SubthalamicNucleus_32d_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20220202_BoxCarmax4th_wideMS1_JM_pSIL_pro_SubthalamicNucleus_32d_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/20220202_BoxCarmax4th_wideMS1_JM_pSIL_pro_SubthalamicNucleus_32d_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
mt_2_b1_f68	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mt_2_b1_f68	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	68	1	mt_2_b1_f68.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mt_2_b1_f68.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20210805_BoxCarmax1st_wideMS1_JM_pSIL_pro_heart_8d_2	mus musculus	heart	not applicable	not available	enrichment of phosphorylated protein	2	20210805_BoxCarmax1st_wideMS1_JM_pSIL_pro_heart_8d_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20210805_BoxCarmax1st_wideMS1_JM_pSIL_pro_heart_8d_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/20210805_BoxCarmax1st_wideMS1_JM_pSIL_pro_heart_8d_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	heart
mt_2_b2_f17	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mt_2_b2_f17	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	17	1	mt_2_b2_f17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mt_2_b2_f17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
pt_wt_b1_f010	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	pt_wt_b1_f010	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	pt_wt_b1_f010.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/pt_wt_b1_f010.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
mtob1_f037	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mtob1_f037	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mtob1_f037.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mtob1_f037.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
mt_2_b2_f79	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mt_2_b2_f79	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	79	1	mt_2_b2_f79.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mt_2_b2_f79.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20210805_BoxCarmax1st_wideMS1_JM_pSIL_pro_heart_32d_1	mus musculus	heart	not applicable	not available	enrichment of phosphorylated protein	1	20210805_BoxCarmax1st_wideMS1_JM_pSIL_pro_heart_32d_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20210805_BoxCarmax1st_wideMS1_JM_pSIL_pro_heart_32d_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/20210805_BoxCarmax1st_wideMS1_JM_pSIL_pro_heart_32d_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	heart
pt_wt_b1_f034	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	pt_wt_b1_f034	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	pt_wt_b1_f034.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/pt_wt_b1_f034.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
mtob1_f008	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mtob1_f008	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mtob1_f008.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mtob1_f008.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
