source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
Escherichia_coli_1	Escherichia coli	not available	not available	1	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Nsco_20190925_Pulldowns_PH_B3_lysC.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_2	Escherichia coli	not available	not available	2	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Nsco_20190912_PH_PRM_invitro_gsh_plus_nleB_WT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_3	Escherichia coli	not available	not available	3	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Nsco_20190925_Pulldowns_PH_B1_lysC.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_4	Escherichia coli	not available	not available	4	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Nsco_20190925_Pulldowns_PH_C1_lysC.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_5	Escherichia coli	not available	not available	5	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Nsco_20181221_ArgGlcNAc_pulldown_564.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_6	Escherichia coli	not available	not available	6	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Nsco_20181221_ArgGlcNAc_pulldown_566.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_7	Escherichia coli	not available	not available	7	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Nsco_20190925_Pulldowns_PH_A2_lysC.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_8	Escherichia coli	not available	not available	8	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Nsco_20190925_Pulldowns_PH_D1_lysC.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_9	Escherichia coli	not available	not available	9	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Nsco_20190912_PH_PRM_invitro_gsh_plus_nleB_RtoA.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_10	Escherichia coli	not available	not available	10	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	Nsco_20190925_Pulldowns_PH_C2_lysC.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
