source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[tissue supergroup]	characteristics[tissue mass]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[microbiome source]	characteristics[sample material processing]	characteristics[sample material processing]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[host body site]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[fragment mass tolerance]	comment[ms min mz]	comment[ms max mz]	comment[ms2 mass analyzer]	comment[elution conditions]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sample material processing]	factor value[sample material processing]
H1_PA_1	H1_PA_1	human gut metagenome	not applicable	digestive tract	0.5 g	1	not pooled	study sample	fecal material	Kingdom of Spain	gut microbiome	SSP1: 0.5 g stool in 10 mL PBS, shaken 45 min at 4C in tube rotator	CDM1: bead beating with 0.5-0.75 mm glass beads (0.3 g), 6.5 m/s, 3 rounds x 30 s (5 min interval on ice) [SSP1-paired, protocol A]	Homo sapiens	H1	healthy	feces	H1_PA_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 NCE	20 ppm	350 m/z	2000 m/z	NT=orbitrap;AC=MS:1000484	gradient 2% to 40% buffer B (0.1% FA in ACN) over 240 min	1	1	21-20_A1bis.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SSP1: 0.5 g stool in 10 mL PBS, shaken 45 min at 4C in tube rotator	CDM1: bead beating with 0.5-0.75 mm glass beads (0.3 g), 6.5 m/s, 3 rounds x 30 s (5 min interval on ice) [SSP1-paired, protocol A]
H1_PA_2	H1_PA_2	human gut metagenome	not applicable	digestive tract	0.5 g	2	not pooled	study sample	fecal material	Kingdom of Spain	gut microbiome	SSP1: 0.5 g stool in 10 mL PBS, shaken 45 min at 4C in tube rotator	CDM1: bead beating with 0.5-0.75 mm glass beads (0.3 g), 6.5 m/s, 3 rounds x 30 s (5 min interval on ice) [SSP1-paired, protocol A]	Homo sapiens	H1	healthy	feces	H1_PA_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 NCE	20 ppm	350 m/z	2000 m/z	NT=orbitrap;AC=MS:1000484	gradient 2% to 40% buffer B (0.1% FA in ACN) over 240 min	1	1	21-20_A2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SSP1: 0.5 g stool in 10 mL PBS, shaken 45 min at 4C in tube rotator	CDM1: bead beating with 0.5-0.75 mm glass beads (0.3 g), 6.5 m/s, 3 rounds x 30 s (5 min interval on ice) [SSP1-paired, protocol A]
H1_PA_3	H1_PA_3	human gut metagenome	not applicable	digestive tract	0.5 g	3	not pooled	study sample	fecal material	Kingdom of Spain	gut microbiome	SSP1: 0.5 g stool in 10 mL PBS, shaken 45 min at 4C in tube rotator	CDM1: bead beating with 0.5-0.75 mm glass beads (0.3 g), 6.5 m/s, 3 rounds x 30 s (5 min interval on ice) [SSP1-paired, protocol A]	Homo sapiens	H1	healthy	feces	H1_PA_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 NCE	20 ppm	350 m/z	2000 m/z	NT=orbitrap;AC=MS:1000484	gradient 2% to 40% buffer B (0.1% FA in ACN) over 240 min	1	1	21-20_A3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SSP1: 0.5 g stool in 10 mL PBS, shaken 45 min at 4C in tube rotator	CDM1: bead beating with 0.5-0.75 mm glass beads (0.3 g), 6.5 m/s, 3 rounds x 30 s (5 min interval on ice) [SSP1-paired, protocol A]
H1_PB_1	H1_PB_1	human gut metagenome	not applicable	digestive tract	0.5 g	1	not pooled	study sample	fecal material	Kingdom of Spain	gut microbiome	SSP1: 0.5 g stool in 10 mL PBS, shaken 45 min at 4C in tube rotator	CDM2: bead beating with 0.5-0.75 mm + 0.125-0.2 mm glass beads, 6.5 m/s, 5 rounds x 30 s (5 min interval on ice)	Homo sapiens	H1	healthy	feces	H1_PB_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 NCE	20 ppm	350 m/z	2000 m/z	NT=orbitrap;AC=MS:1000484	gradient 2% to 40% buffer B (0.1% FA in ACN) over 240 min	1	1	21-20_B1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SSP1: 0.5 g stool in 10 mL PBS, shaken 45 min at 4C in tube rotator	CDM2: bead beating with 0.5-0.75 mm + 0.125-0.2 mm glass beads, 6.5 m/s, 5 rounds x 30 s (5 min interval on ice)
H1_PB_2	H1_PB_2	human gut metagenome	not applicable	digestive tract	0.5 g	2	not pooled	study sample	fecal material	Kingdom of Spain	gut microbiome	SSP1: 0.5 g stool in 10 mL PBS, shaken 45 min at 4C in tube rotator	CDM2: bead beating with 0.5-0.75 mm + 0.125-0.2 mm glass beads, 6.5 m/s, 5 rounds x 30 s (5 min interval on ice)	Homo sapiens	H1	healthy	feces	H1_PB_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 NCE	20 ppm	350 m/z	2000 m/z	NT=orbitrap;AC=MS:1000484	gradient 2% to 40% buffer B (0.1% FA in ACN) over 240 min	1	1	21-20_B2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SSP1: 0.5 g stool in 10 mL PBS, shaken 45 min at 4C in tube rotator	CDM2: bead beating with 0.5-0.75 mm + 0.125-0.2 mm glass beads, 6.5 m/s, 5 rounds x 30 s (5 min interval on ice)
H1_PB_3	H1_PB_3	human gut metagenome	not applicable	digestive tract	0.5 g	3	not pooled	study sample	fecal material	Kingdom of Spain	gut microbiome	SSP1: 0.5 g stool in 10 mL PBS, shaken 45 min at 4C in tube rotator	CDM2: bead beating with 0.5-0.75 mm + 0.125-0.2 mm glass beads, 6.5 m/s, 5 rounds x 30 s (5 min interval on ice)	Homo sapiens	H1	healthy	feces	H1_PB_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 NCE	20 ppm	350 m/z	2000 m/z	NT=orbitrap;AC=MS:1000484	gradient 2% to 40% buffer B (0.1% FA in ACN) over 240 min	1	1	21-20_B3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SSP1: 0.5 g stool in 10 mL PBS, shaken 45 min at 4C in tube rotator	CDM2: bead beating with 0.5-0.75 mm + 0.125-0.2 mm glass beads, 6.5 m/s, 5 rounds x 30 s (5 min interval on ice)
H1_PC_1	H1_PC_1	human gut metagenome	not applicable	digestive tract	0.5 g	1	not pooled	study sample	fecal material	Kingdom of Spain	gut microbiome	SSP1: 0.5 g stool in 10 mL PBS, shaken 45 min at 4C in tube rotator	CDM3: 4x sonication (30 s, 40% amplitude, 1 min interval on ice) then bead beating with 0.5-0.75 mm glass beads (0.3 g), 6.5 m/s, 3 rounds x 30 s (5 min interval on ice) [bead-beating step follows CDM1 protocol-A conditions; SSP1-paired, protocol C]	Homo sapiens	H1	healthy	feces	H1_PC_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 NCE	20 ppm	350 m/z	2000 m/z	NT=orbitrap;AC=MS:1000484	gradient 2% to 40% buffer B (0.1% FA in ACN) over 240 min	1	1	21-20_C1bis2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SSP1: 0.5 g stool in 10 mL PBS, shaken 45 min at 4C in tube rotator	CDM3: 4x sonication (30 s, 40% amplitude, 1 min interval on ice) then bead beating with 0.5-0.75 mm glass beads (0.3 g), 6.5 m/s, 3 rounds x 30 s (5 min interval on ice) [bead-beating step follows CDM1 protocol-A conditions; SSP1-paired, protocol C]
H1_PC_2	H1_PC_2	human gut metagenome	not applicable	digestive tract	0.5 g	2	not pooled	study sample	fecal material	Kingdom of Spain	gut microbiome	SSP1: 0.5 g stool in 10 mL PBS, shaken 45 min at 4C in tube rotator	CDM3: 4x sonication (30 s, 40% amplitude, 1 min interval on ice) then bead beating with 0.5-0.75 mm glass beads (0.3 g), 6.5 m/s, 3 rounds x 30 s (5 min interval on ice) [bead-beating step follows CDM1 protocol-A conditions; SSP1-paired, protocol C]	Homo sapiens	H1	healthy	feces	H1_PC_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 NCE	20 ppm	350 m/z	2000 m/z	NT=orbitrap;AC=MS:1000484	gradient 2% to 40% buffer B (0.1% FA in ACN) over 240 min	1	1	21-20_C2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SSP1: 0.5 g stool in 10 mL PBS, shaken 45 min at 4C in tube rotator	CDM3: 4x sonication (30 s, 40% amplitude, 1 min interval on ice) then bead beating with 0.5-0.75 mm glass beads (0.3 g), 6.5 m/s, 3 rounds x 30 s (5 min interval on ice) [bead-beating step follows CDM1 protocol-A conditions; SSP1-paired, protocol C]
H1_PC_3	H1_PC_3	human gut metagenome	not applicable	digestive tract	0.5 g	3	not pooled	study sample	fecal material	Kingdom of Spain	gut microbiome	SSP1: 0.5 g stool in 10 mL PBS, shaken 45 min at 4C in tube rotator	CDM3: 4x sonication (30 s, 40% amplitude, 1 min interval on ice) then bead beating with 0.5-0.75 mm glass beads (0.3 g), 6.5 m/s, 3 rounds x 30 s (5 min interval on ice) [bead-beating step follows CDM1 protocol-A conditions; SSP1-paired, protocol C]	Homo sapiens	H1	healthy	feces	H1_PC_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 NCE	20 ppm	350 m/z	2000 m/z	NT=orbitrap;AC=MS:1000484	gradient 2% to 40% buffer B (0.1% FA in ACN) over 240 min	1	1	21-20_C3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SSP1: 0.5 g stool in 10 mL PBS, shaken 45 min at 4C in tube rotator	CDM3: 4x sonication (30 s, 40% amplitude, 1 min interval on ice) then bead beating with 0.5-0.75 mm glass beads (0.3 g), 6.5 m/s, 3 rounds x 30 s (5 min interval on ice) [bead-beating step follows CDM1 protocol-A conditions; SSP1-paired, protocol C]
H1_PD_1	H1_PD_1	human gut metagenome	not applicable	digestive tract	0.5 g	1	not pooled	study sample	fecal material	Kingdom of Spain	gut microbiome	SSP2: 0.5 g stool in 10 mL PBS, vortexed 5 min with ten 2.5 mm glass beads	CDM1: bead beating with 0.5-0.75 mm glass beads (0.3 g), 6.5 m/s, 5 rounds x 30 s (5 min interval on ice) [SSP2-paired, protocol D]	Homo sapiens	H1	healthy	feces	H1_PD_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 NCE	20 ppm	350 m/z	2000 m/z	NT=orbitrap;AC=MS:1000484	gradient 2% to 40% buffer B (0.1% FA in ACN) over 240 min	1	1	21-20_D1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	SSP2: 0.5 g stool in 10 mL PBS, vortexed 5 min with ten 2.5 mm glass beads	CDM1: bead beating with 0.5-0.75 mm glass beads (0.3 g), 6.5 m/s, 5 rounds x 30 s (5 min interval on ice) [SSP2-paired, protocol D]
