source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
83036_PT4_40min	Homo sapiens	Cell culture	not applicable	not available	1	83036_PT4_40min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	83036_PT4_40min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD001114/83036_PT4_40min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
83031_PT2_run2	Homo sapiens	Cell culture	not applicable	not available	1	83031_PT2_run2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	83031_PT2_run2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD001114/83031_PT2_run2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
LR_Ulilysin_PMA_B3_121126	Homo sapiens	Cell culture	not applicable	not available	1	LR_Ulilysin_PMA_B3_121126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	LR_Ulilysin_PMA_B3_121126.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD001114/LR_Ulilysin_PMA_B3_121126.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
LR_Trypsin_PMA_B1_121126	Homo sapiens	Cell culture	not applicable	not available	1	LR_Trypsin_PMA_B1_121126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	LR_Trypsin_PMA_B1_121126.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD001114/LR_Trypsin_PMA_B1_121126.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
83031_PT3	Homo sapiens	Cell culture	not applicable	not available	1	83031_PT3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	83031_PT3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD001114/83031_PT3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
83031_PUA_run2	Homo sapiens	Cell culture	not applicable	not available	1	83031_PUA_run2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	83031_PUA_run2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD001114/83031_PUA_run2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
83031_PU1_run2	Homo sapiens	Cell culture	not applicable	not available	1	83031_PU1_run2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	83031_PU1_run2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD001114/83031_PU1_run2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
83036_PU3_final	Homo sapiens	Cell culture	not applicable	not available	1	83036_PU3_final	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	83036_PU3_final.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD001114/83036_PU3_final.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
83031_PT1	Homo sapiens	Cell culture	not applicable	not available	1	83031_PT1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	83031_PT1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD001114/83031_PT1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
83031_PUA	Homo sapiens	Cell culture	not applicable	not available	1	83031_PUA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	83031_PUA.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD001114/83031_PUA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
