source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[genotype]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[genotype]
PC-APOE2-r1	Homo sapiens	blood brain barrier	pericyte	normal	adult	not available	not available	not available	not applicable	APOE2	cell	1	run 230403_024_CG1_Pericyte_1_E2_r1_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	230403_024_CG1_Pericyte_1_E2_r1_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE2
PC-APOE3-r1	Homo sapiens	blood brain barrier	pericyte	normal	adult	not available	not available	not available	not applicable	APOE3	cell	1	run 230403_026_CG1_Pericyte_7_E3_r1_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	230403_026_CG1_Pericyte_7_E3_r1_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE3
PC-APOE2-r2	Homo sapiens	blood brain barrier	pericyte	normal	adult	not available	not available	not available	not applicable	APOE2	cell	2	run 230403_030_CG1_Pericyte_2_E2_r2_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	230403_030_CG1_Pericyte_2_E2_r2_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE2
PC-APOE3-r2	Homo sapiens	blood brain barrier	pericyte	normal	adult	not available	not available	not available	not applicable	APOE3	cell	2	run 230403_032_CG1_Pericyte_8_E3_r2_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	230403_032_CG1_Pericyte_8_E3_r2_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE3
PC-APOE4-r1	Homo sapiens	blood brain barrier	pericyte	normal	adult	not available	not available	not available	not applicable	APOE4	cell	1	run 230403_036_CG1_Pericyte_14_E4_r2_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	230403_036_CG1_Pericyte_14_E4_r2_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE4
PC-APOE2-r3	Homo sapiens	blood brain barrier	pericyte	normal	adult	not available	not available	not available	not applicable	APOE2	cell	3	run 230403_038_CG1_Pericyte_3_E2_r3_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	230403_038_CG1_Pericyte_3_E2_r3_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE2
PC-APOE3-r3	Homo sapiens	blood brain barrier	pericyte	normal	adult	not available	not available	not available	not applicable	APOE3	cell	3	run 230403_040_CG1_Pericyte_9_E3_r3_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	230403_040_CG1_Pericyte_9_E3_r3_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE3
PC-APOE2-r4	Homo sapiens	blood brain barrier	pericyte	normal	adult	not available	not available	not available	not applicable	APOE2	cell	4	run 230403_044_CG1_Pericyte_4_E2_r4_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	230403_044_CG1_Pericyte_4_E2_r4_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE2
PC-APOE3-r4	Homo sapiens	blood brain barrier	pericyte	normal	adult	not available	not available	not available	not applicable	APOE3	cell	4	run 230403_048_CG1_Pericyte_10_E3_r4_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	230403_048_CG1_Pericyte_10_E3_r4_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE3
PC-APOE4-r2	Homo sapiens	blood brain barrier	pericyte	normal	adult	not available	not available	not available	not applicable	APOE4	cell	2	run 230403_050_CG1_Pericyte_16_E4_r4_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Eclipse;AC=MS:1003029	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=higher energy beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	230403_050_CG1_Pericyte_16_E4_r4_DIA.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	APOE4
