source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]
Escherichia coli 1	Escherichia coli	cell	not available	1	not available	Protein abundance analysis	proteomic profiling by mass spectrometry	1	TABLE_S3_TAB_Protein_ReDiMe_COLUMN_B1T2_06.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 240;AC=MS:1003094	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=higher-energy collision dissociation	10 ppm	0.02 Da	oxidation of methionine, acetylation, methionine-loss, cysteine alkylation, light dimethylation
Escherichia coli 2	Escherichia coli	cell	not available	1	not available	Reactive cysteine analysis	proteomic profiling by mass spectrometry	1	TABLE_S1_TAB_Peptide_isoTOP_ABPP_COLUMN_B2T2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 240;AC=MS:1003094	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=higher-energy collision dissociation	10 ppm	0.02 Da	oxidation of methionine, acetylation, methionine-loss, cysteine alkylation, light IA-alkyne
Escherichia coli 3	Escherichia coli	cell	not available	1	not available	Protein abundance analysis	proteomic profiling by mass spectrometry	1	TABLE_S3_TAB_Protein_ReDiMe_COLUMN_B1T1_01.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 240;AC=MS:1003094	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=higher-energy collision dissociation	10 ppm	0.02 Da	oxidation of methionine, acetylation, methionine-loss, cysteine alkylation, light dimethylation
Escherichia coli 4	Escherichia coli	cell	not available	2	not available	Protein abundance analysis	proteomic profiling by mass spectrometry	1	TABLE_S2_TAB_Protein_ReDiMe_COLUMN_B2T2_05.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 240;AC=MS:1003094	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=higher-energy collision dissociation	10 ppm	0.02 Da	oxidation of methionine, acetylation, methionine-loss, cysteine alkylation, light dimethylation
Escherichia coli 5	Escherichia coli	cell	not available	1	not available	Reactive cysteine analysis	proteomic profiling by mass spectrometry	1	TABLE_S3_TAB_Peptide_isoTOP_ABPP_COLUMN_B2T1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 240;AC=MS:1003094	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=higher-energy collision dissociation	10 ppm	0.02 Da	oxidation of methionine, acetylation, methionine-loss, cysteine alkylation, light IA-alkyne
Escherichia coli 6	Escherichia coli	cell	not available	2	not available	Protein abundance analysis	proteomic profiling by mass spectrometry	1	TABLE_S3_TAB_Protein_ReDiMe_COLUMN_B2T2_06.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 240;AC=MS:1003094	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=higher-energy collision dissociation	10 ppm	0.02 Da	oxidation of methionine, acetylation, methionine-loss, cysteine alkylation, light dimethylation
Escherichia coli 7	Escherichia coli	cell	not available	2	not available	Protein abundance analysis	proteomic profiling by mass spectrometry	1	TABLE_S2_TAB_Protein_ReDiMe_COLUMN_B2T1_03.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 240;AC=MS:1003094	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=higher-energy collision dissociation	10 ppm	0.02 Da	oxidation of methionine, acetylation, methionine-loss, cysteine alkylation, light dimethylation
Escherichia coli 8	Escherichia coli	cell	not available	2	not available	Protein abundance analysis	proteomic profiling by mass spectrometry	1	TABLE_S2_TAB_Protein_ReDiMe_COLUMN_B2T1_01.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 240;AC=MS:1003094	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=higher-energy collision dissociation	10 ppm	0.02 Da	oxidation of methionine, acetylation, methionine-loss, cysteine alkylation, light dimethylation
Escherichia coli 9	Escherichia coli	cell	not available	2	not available	Protein abundance analysis	proteomic profiling by mass spectrometry	1	TABLE_S1_TAB_Protein_ReDiMe_COLUMN_B2T1_02.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 240;AC=MS:1003094	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=higher-energy collision dissociation	10 ppm	0.02 Da	oxidation of methionine, acetylation, methionine-loss, cysteine alkylation, light dimethylation
Escherichia coli 10	Escherichia coli	cell	not available	2	not available	Protein abundance analysis	proteomic profiling by mass spectrometry	1	TABLE_S2_TAB_Protein_ReDiMe_COLUMN_B2T2_03.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 240;AC=MS:1003094	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=higher-energy collision dissociation	10 ppm	0.02 Da	oxidation of methionine, acetylation, methionine-loss, cysteine alkylation, light dimethylation
