source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[organism part]
20130219_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s1718	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	not available	not available	20130219_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s1718	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	8 ppm	20 ppm	27% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130219_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s1718.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001333/20130219_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s1718.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Hela cell
20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s34	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	not available	not available	20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	8 ppm	20 ppm	27% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s34.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001333/20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Hela cell
20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_w1314	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	not available	not available	20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_w1314	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	8 ppm	20 ppm	27% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_w1314.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001333/20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_w1314.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Hela cell
20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_w2122	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	not available	not available	20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_w2122	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	8 ppm	20 ppm	27% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_w2122.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001333/20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_w2122.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Hela cell
20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s2122	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	not available	not available	20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s2122	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	8 ppm	20 ppm	27% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s2122.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001333/20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s2122.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Hela cell
20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_w2728	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	not available	not available	20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_w2728	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	8 ppm	20 ppm	27% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_w2728.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001333/20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_w2728.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Hela cell
20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_w910	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	not available	not available	20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_w910	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	8 ppm	20 ppm	27% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_w910.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001333/20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_w910.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Hela cell
20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s1314	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	not available	not available	20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s1314	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	8 ppm	20 ppm	27% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s1314.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001333/20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s1314.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Hela cell
20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s2324	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	not available	not available	20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s2324	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	8 ppm	20 ppm	27% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s2324.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001333/20130215_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s2324.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Hela cell
20130219_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s2930	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	not available	not available	20130219_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s2930	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	8 ppm	20 ppm	27% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130219_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s2930.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001333/20130219_QEx3_RSLC-4_Mischerikow_Peters_IMP_shotgun_s2930.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Hela cell
