source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20131126_QE4_UPLC3_CHS_SA_SIRT6NAMKO_03	homo sapiens	not available	not applicable	not available	antibody enrichment	3	20131126_QE4_UPLC3_CHS_SA_SIRT6NAMKO_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	20131126_QE4_UPLC3_CHS_SA_SIRT6NAMKO_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001377/20131126_QE4_UPLC3_CHS_SA_SIRT6NAMKO_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation
20120703_QE6_LC4_CHS_Bufexamaclow_proteome_02	homo sapiens	not available	not applicable	not available	antibody enrichment	2	20120703_QE6_LC4_CHS_Bufexamaclow_proteome_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	20120703_QE6_LC4_CHS_Bufexamaclow_proteome_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001377/20120703_QE6_LC4_CHS_Bufexamaclow_proteome_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation
20111128_QE6_CHS_SA_HeLa_TSA10-8_acK_RIPA_F01	homo sapiens	not available	not applicable	not available	antibody enrichment	1	20111128_QE6_CHS_SA_HeLa_TSA10-8_acK_RIPA_F01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	20111128_QE6_CHS_SA_HeLa_TSA10-8_acK_RIPA_F01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001377/20111128_QE6_CHS_SA_HeLa_TSA10-8_acK_RIPA_F01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation
20120521_QE3_LC2_CHS_SA_Bufexamacproteome_05	homo sapiens	not available	not applicable	not available	antibody enrichment	5	20120521_QE3_LC2_CHS_SA_Bufexamacproteome_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	20120521_QE3_LC2_CHS_SA_Bufexamacproteome_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001377/20120521_QE3_LC2_CHS_SA_Bufexamacproteome_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation
20131212_QE4_UPLC3_CHS_SA_MEF_NAM_SIRT6KO_acetyl_08	homo sapiens	not available	not applicable	not available	antibody enrichment	8	20131212_QE4_UPLC3_CHS_SA_MEF_NAM_SIRT6KO_acetyl_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	20131212_QE4_UPLC3_CHS_SA_MEF_NAM_SIRT6KO_acetyl_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001377/20131212_QE4_UPLC3_CHS_SA_MEF_NAM_SIRT6KO_acetyl_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation
20120614_QE1_LC3_CHS_SA_Bufexamaclow_proteome04	homo sapiens	not available	not applicable	not available	antibody enrichment	1	20120614_QE1_LC3_CHS_SA_Bufexamaclow_proteome04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	20120614_QE1_LC3_CHS_SA_Bufexamaclow_proteome04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001377/20120614_QE1_LC3_CHS_SA_Bufexamaclow_proteome04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation
20130815_QE4_UPLC3_CHS_SA_MEF_AGK2_SIRT2KO_01	homo sapiens	not available	not applicable	not available	antibody enrichment	1	20130815_QE4_UPLC3_CHS_SA_MEF_AGK2_SIRT2KO_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	20130815_QE4_UPLC3_CHS_SA_MEF_AGK2_SIRT2KO_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001377/20130815_QE4_UPLC3_CHS_SA_MEF_AGK2_SIRT2KO_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation
20120308_QE6_CHS_SA_Sirtinol_04_PJSseries	homo sapiens	not available	not applicable	not available	antibody enrichment	1	20120308_QE6_CHS_SA_Sirtinol_04_PJSseries	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	20120308_QE6_CHS_SA_Sirtinol_04_PJSseries.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001377/20120308_QE6_CHS_SA_Sirtinol_04_PJSseries.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation
20131126_QE4_UPLC3_CHS_SA_SIRT6NAMKO_07	homo sapiens	not available	not applicable	not available	antibody enrichment	7	20131126_QE4_UPLC3_CHS_SA_SIRT6NAMKO_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	20131126_QE4_UPLC3_CHS_SA_SIRT6NAMKO_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001377/20131126_QE4_UPLC3_CHS_SA_SIRT6NAMKO_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation
20120308_QE6_CHS_SA_Sirtinol_02_PJSseries	homo sapiens	not available	not applicable	not available	antibody enrichment	1	20120308_QE6_CHS_SA_Sirtinol_02_PJSseries	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	20120308_QE6_CHS_SA_Sirtinol_02_PJSseries.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001377/20120308_QE6_CHS_SA_Sirtinol_02_PJSseries.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation
