source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
21Apr2016_ES_YC_15KOT_dynex_15s	Saccharomyces cerevisiae	not available	not available	1	21Apr2016_ES_YC_15KOT_dynex_15s	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	1	1	21Apr2016_ES_YC_15KOT_dynex_15s.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
21Apr2016_ES_YC_15KOT_dynex_30s	Saccharomyces cerevisiae	not available	not available	1	21Apr2016_ES_YC_15KOT_dynex_30s	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	1	1	21Apr2016_ES_YC_15KOT_dynex_30s.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
21Apr2016_ES_YC_15KOT_dynex_5s	Saccharomyces cerevisiae	not available	not available	1	21Apr2016_ES_YC_15KOT_dynex_5s	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	1	1	21Apr2016_ES_YC_15KOT_dynex_5s.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
21Apr2016_ES_YC_30KOT_dynex_15s	Saccharomyces cerevisiae	not available	not available	1	21Apr2016_ES_YC_30KOT_dynex_15s	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	1	1	21Apr2016_ES_YC_30KOT_dynex_15s.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
21Apr2016_ES_YC_30KOT_dynex_30s	Saccharomyces cerevisiae	not available	not available	1	21Apr2016_ES_YC_30KOT_dynex_30s	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	1	1	21Apr2016_ES_YC_30KOT_dynex_30s.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
21Apr2016_ES_YC_30KOT_dynex_5s	Saccharomyces cerevisiae	not available	not available	1	21Apr2016_ES_YC_30KOT_dynex_5s	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	1	1	21Apr2016_ES_YC_30KOT_dynex_5s.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
21Apr2016_ES_YC_60KOT_dynex_15s	Saccharomyces cerevisiae	not available	not available	1	21Apr2016_ES_YC_60KOT_dynex_15s	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	1	1	21Apr2016_ES_YC_60KOT_dynex_15s.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
21Apr2016_ES_YC_60KOT_dynex_30s	Saccharomyces cerevisiae	not available	not available	1	21Apr2016_ES_YC_60KOT_dynex_30s	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	1	1	21Apr2016_ES_YC_60KOT_dynex_30s.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
21Apr2016_ES_YC_60KOT_dynex_5s	Saccharomyces cerevisiae	not available	not available	1	21Apr2016_ES_YC_60KOT_dynex_5s	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	1	1	21Apr2016_ES_YC_60KOT_dynex_5s.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
21Apr2016_ES_YC_rapidIT_dynex_15s	Saccharomyces cerevisiae	not available	not available	1	21Apr2016_ES_YC_rapidIT_dynex_15s	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	1	1	21Apr2016_ES_YC_rapidIT_dynex_15s.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
