source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
E00113_MS21-012_Te-a	E00113_MS21-012_Te-a	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00113_MS21-012_Te-a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00113_MS21-012_Te-a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00114_MS21-012_Te-b	E00114_MS21-012_Te-b	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00114_MS21-012_Te-b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00114_MS21-012_Te-b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00115_MS21-012_Te-c	E00115_MS21-012_Te-c	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00115_MS21-012_Te-c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00115_MS21-012_Te-c.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00116_E00117_E00204_E00113_E00115_E00114_E00203_E00202_E00201_E00205	E00116_E00117_E00204_E00113_E00115_E00114_E00203_E00202_E00201_E00205	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00116_E00117_E00204_E00113_E00115_E00114_E00203_E00202_E00201_E00205	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00116_E00117_E00204_E00113_E00115_E00114_E00203_E00202_E00201_E00205.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00116_MS21-012_Te-d	E00116_MS21-012_Te-d	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00116_MS21-012_Te-d	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00116_MS21-012_Te-d.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00117_MS21-012_Te-e	E00117_MS21-012_Te-e	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00117_MS21-012_Te-e	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00117_MS21-012_Te-e.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00120_MS21-012_BA37-a	E00120_MS21-012_BA37-a	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00120_MS21-012_BA37-a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00120_MS21-012_BA37-a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00121_MS21-012_BA37-b	E00121_MS21-012_BA37-b	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00121_MS21-012_BA37-b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00121_MS21-012_BA37-b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00122_MS21-012_BA37-c	E00122_MS21-012_BA37-c	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00122_MS21-012_BA37-c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00122_MS21-012_BA37-c.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00123_MS21-012_BA37-d	E00123_MS21-012_BA37-d	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00123_MS21-012_BA37-d	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00123_MS21-012_BA37-d.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00124_MS21-012_BA37-e	E00124_MS21-012_BA37-e	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00124_MS21-012_BA37-e	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00124_MS21-012_BA37-e.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00127_MS21-012_BA43-a	E00127_MS21-012_BA43-a	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00127_MS21-012_BA43-a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00127_MS21-012_BA43-a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00128_MS21-012_BA43-b	E00128_MS21-012_BA43-b	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00128_MS21-012_BA43-b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00128_MS21-012_BA43-b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00129_MS21-012_BA43-c	E00129_MS21-012_BA43-c	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00129_MS21-012_BA43-c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00129_MS21-012_BA43-c.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00130_MS21-012_BA43-d	E00130_MS21-012_BA43-d	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00130_MS21-012_BA43-d	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00130_MS21-012_BA43-d.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00131_MS21-012_BA43-e	E00131_MS21-012_BA43-e	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00131_MS21-012_BA43-e	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00131_MS21-012_BA43-e.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00201_MS21-012_Te-a-ExcluList	E00201_MS21-012_Te-a-ExcluList	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00201_MS21-012_Te-a-ExcluList	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00201_MS21-012_Te-a-ExcluList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00202_MS21-012_Te-b-ExcluList	E00202_MS21-012_Te-b-ExcluList	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00202_MS21-012_Te-b-ExcluList	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00202_MS21-012_Te-b-ExcluList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00203_MS21-012_Te-c-ExcluList	E00203_MS21-012_Te-c-ExcluList	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00203_MS21-012_Te-c-ExcluList	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00203_MS21-012_Te-c-ExcluList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00204_MS21-012_Te-d-ExcluList	E00204_MS21-012_Te-d-ExcluList	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00204_MS21-012_Te-d-ExcluList	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00204_MS21-012_Te-d-ExcluList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00205_MS21-012_Te-e-ExcluList	E00205_MS21-012_Te-e-ExcluList	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00205_MS21-012_Te-e-ExcluList	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00205_MS21-012_Te-e-ExcluList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00206_E00122_E00121_E00209_E00123_E00207_E00124_E00208_E00210_E00120	E00206_E00122_E00121_E00209_E00123_E00207_E00124_E00208_E00210_E00120	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00206_E00122_E00121_E00209_E00123_E00207_E00124_E00208_E00210_E00120	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00206_E00122_E00121_E00209_E00123_E00207_E00124_E00208_E00210_E00120.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00206_MS21-012_BA37-a-ExcluList	E00206_MS21-012_BA37-a-ExcluList	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00206_MS21-012_BA37-a-ExcluList	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00206_MS21-012_BA37-a-ExcluList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00207_MS21-012_BA37-b-ExcluList	E00207_MS21-012_BA37-b-ExcluList	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00207_MS21-012_BA37-b-ExcluList	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00207_MS21-012_BA37-b-ExcluList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00208_MS21-012_BA37-c-ExcluList	E00208_MS21-012_BA37-c-ExcluList	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00208_MS21-012_BA37-c-ExcluList	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00208_MS21-012_BA37-c-ExcluList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00209_MS21-012_BA37-d-ExcluList	E00209_MS21-012_BA37-d-ExcluList	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00209_MS21-012_BA37-d-ExcluList	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00209_MS21-012_BA37-d-ExcluList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00210_MS21-012_BA37-e-ExcluList	E00210_MS21-012_BA37-e-ExcluList	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00210_MS21-012_BA37-e-ExcluList	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00210_MS21-012_BA37-e-ExcluList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00211_MS21-012_BA43-a-ExcluList	E00211_MS21-012_BA43-a-ExcluList	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00211_MS21-012_BA43-a-ExcluList	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00211_MS21-012_BA43-a-ExcluList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00212_E00128_E00213_E00127_E00130_E00129_E00215_E00211_E00214_E00131	E00212_E00128_E00213_E00127_E00130_E00129_E00215_E00211_E00214_E00131	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00212_E00128_E00213_E00127_E00130_E00129_E00215_E00211_E00214_E00131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00212_E00128_E00213_E00127_E00130_E00129_E00215_E00211_E00214_E00131.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00212_MS21-012_BA43-b-ExcluList	E00212_MS21-012_BA43-b-ExcluList	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00212_MS21-012_BA43-b-ExcluList	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00212_MS21-012_BA43-b-ExcluList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
E00213_MS21-012_BA43-c-ExcluList	E00213_MS21-012_BA43-c-ExcluList	Homo sapiens	Tooth	not applicable	not available	Extended_paleoproteomics_of_ancient_human_teeth	Tooth	Tooth	not available	not available	not available	not available	1	E00213_MS21-012_BA43-c-ExcluList	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	1	1	E00213_MS21-012_BA43-c-ExcluList.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Tooth
