source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[enrichment process]	characteristics[genetic modification]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genetic modification]	factor value[treatment]
Flag	Homo sapiens	kidney	normal	epithelial cell	cell line	HEK293T	CVCL_0063	HEK293T	kidney	not available	female	not available	fetal stage	sample enrichment	empty Flag vector	Control	1	Flag	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dehydrated;AC=UNIMOD:23;TA=S,T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	2.0 Da	0.50 Da	1	1	L10309_BVL_Flag.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	empty Flag vector	Control
Flag-AAG	Homo sapiens	kidney	normal	epithelial cell	cell line	HEK293T	CVCL_0063	HEK293T	kidney	not available	female	not available	fetal stage	sample enrichment	Flag-AAG	Control	1	Flag-AAG	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dehydrated;AC=UNIMOD:23;TA=S,T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	2.0 Da	0.50 Da	1	1	L10310_BVL_fAAG.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Flag-AAG	Control
Flag-AAG-MMS	Homo sapiens	kidney	normal	epithelial cell	cell line	HEK293T	CVCL_0063	HEK293T	kidney	not available	female	not available	fetal stage	sample enrichment	Flag-AAG	Methyl Methanesulfonate	1	Flag-AAG-MMS	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dehydrated;AC=UNIMOD:23;TA=S,T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	2.0 Da	0.50 Da	1	1	L10311_BVL_fAAG_MMS.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Flag-AAG	Methyl Methanesulfonate
