source name	characteristics[cell type]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[ancestry category]	characteristics[cell line]	characteristics[biological replicate]	characteristics[organism]	characteristics[organism part]	assay name	technology type	comment[fraction identifier]	comment[label]	comment[instrument]	comment[data file]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[group]
OE06566_M01	brain organoids	normal	not available	not available	not available	not available	1	Homo sapiens	brain	Mock	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	OE06566_M01.raw	1	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Mock
OE06567_B01	brain organoids	BeAn	not available	not available	not available	not available	1	Homo sapiens	brain	BeAn	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	OE06567_B01.raw	1	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	BeAn
OE06568_Or01	brain organoids	OROV	not available	not available	not available	not available	1	Homo sapiens	brain	OROV	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	OE06568_Or01.raw	1	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	OROV
OE06569_M02	brain organoids	normal	not available	not available	not available	not available	2	Homo sapiens	brain	Mock	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	OE06569_M02.raw	1	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Mock
OE06571_B02	brain organoids	BeAn	not available	not available	not available	not available	2	Homo sapiens	brain	BeAn	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	OE06571_B02.raw	1	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	BeAn
OE06572_Or02	brain organoids	OROV	not available	not available	not available	not available	2	Homo sapiens	brain	OROV	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	OE06572_Or02.raw	1	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	OROV
OE06573_M03	brain organoids	normal	not available	not available	not available	not available	3	Homo sapiens	brain	Mock	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	OE06573_M03.raw	1	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Mock
OE06574_B03	brain organoids	BeAn	not available	not available	not available	not available	3	Homo sapiens	brain	BeAn	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	OE06574_B03.raw	1	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	BeAn
OE06575_Or03	brain organoids	OROV	not available	not available	not available	not available	3	Homo sapiens	brain	OROV	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	OE06575_Or03.raw	1	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	OROV
