source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]
Escherichia_coli_1	Escherichia coli	cell	not available	1	not available	Proteomic_Assay_1	proteomic profiling by mass spectrometry	1	210123_23_qtRNA_Val-CGGC-32T-38A.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available
Escherichia_coli_2	Escherichia coli	cell	not available	1	not available	Proteomic_Assay_2	proteomic profiling by mass spectrometry	1	201125_13_qtRNA_Asp-CGGC-32G-38A.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available
Escherichia_coli_3	Escherichia coli	cell	not available	1	not available	Proteomic_Assay_3	proteomic profiling by mass spectrometry	1	200904_10_qtRNA_Pro-CCGG.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available
Escherichia_coli_4	Escherichia coli	cell	not available	1	not available	Proteomic_Assay_4	proteomic profiling by mass spectrometry	1	210123_09_qtRNA_Ser-TCGG-32A-38C.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available
Escherichia_coli_5	Escherichia coli	cell	not available	1	not available	Proteomic_Assay_5	proteomic profiling by mass spectrometry	1	210123_02_qtRNA_Trp-AGGG.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available
Escherichia_coli_6	Escherichia coli	cell	not available	1	not available	Proteomic_Assay_6	proteomic profiling by mass spectrometry	1	191027_40_qtRNA_Gly-GGGG.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available
Escherichia_coli_7	Escherichia coli	cell	not available	1	not available	Proteomic_Assay_7	proteomic profiling by mass spectrometry	1	200903_33_qtRNA_Ala-AGGG-32T-38G.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available
Escherichia_coli_8	Escherichia coli	cell	not available	1	not available	Proteomic_Assay_8	proteomic profiling by mass spectrometry	1	200903_43_qtRNA_Met-AGGG.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available
Escherichia_coli_9	Escherichia coli	cell	not available	1	not available	Proteomic_Assay_9	proteomic profiling by mass spectrometry	1	202011_36_qtRNA_Phe-CGGC.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available
Escherichia_coli_10	Escherichia coli	cell	not available	1	not available	Proteomic_Assay_10	proteomic profiling by mass spectrometry	1	210123_30_qtRNA_Ile-AGGA.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available
Escherichia_coli_11	Escherichia coli	cell	not available	1	not available	Proteomic_Assay_11	proteomic profiling by mass spectrometry	1	191027_12_qtRNA_Glu-CGGT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available
Escherichia_coli_12	Escherichia coli	cell	not available	1	not available	Proteomic_Assay_12	proteomic profiling by mass spectrometry	1	202011_29_qtRNA_Gln-CAGG.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available
