source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[material type]	characteristics[biological replicate]	characteristics[immunopeptidome enrichment method]	characteristics[mhc protein complex]	characteristics[mhc typing]	characteristics[antibody enrichment]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[source name]
MSB46732	Homo sapiens	not available	carcinoma	not available	not available	46732n46733	not available	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	46732n46733_tumor	proteomic profiling by mass spectrometry	MSB46732n46733A.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT130C	1	NT=HCD;AC=MS:1000422	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.03 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MSB46732
MSB46733	Homo sapiens	not available	normal	not available	not available	46732n46733	not available	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	46732n46733_normal	proteomic profiling by mass spectrometry	MSB46732n46733A.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT131N	1	NT=HCD;AC=MS:1000422	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.03 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MSB46733
MSB46734	Homo sapiens	not available	carcinoma	not available	not available	46734n46735	not available	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	46734n46735_tumor	proteomic profiling by mass spectrometry	MSB46734n46735A.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT130C	1	NT=HCD;AC=MS:1000422	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.03 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MSB46734
MSB46735	Homo sapiens	not available	normal	not available	not available	46734n46735	not available	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	46734n46735_normal	proteomic profiling by mass spectrometry	MSB46734n46735A.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT131N	1	NT=HCD;AC=MS:1000422	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.03 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MSB46735
MSB46736	Homo sapiens	not available	carcinoma	not available	not available	46736n46737	not available	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	46736n46737_tumor	proteomic profiling by mass spectrometry	MSB46736n46737A.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT130C	1	NT=HCD;AC=MS:1000422	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.03 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MSB46736
MSB46737	Homo sapiens	not available	normal	not available	not available	46736n46737	not available	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	46736n46737_normal	proteomic profiling by mass spectrometry	MSB46736n46737A.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT131N	1	NT=HCD;AC=MS:1000422	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.03 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MSB46737
MSB46738	Homo sapiens	not available	carcinoma	not available	not available	46738n46739	not available	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	46738n46739_tumor	proteomic profiling by mass spectrometry	MSB46738n46739A.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT130C	1	NT=HCD;AC=MS:1000422	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.03 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MSB46738
MSB46739	Homo sapiens	not available	normal	not available	not available	46738n46739	not available	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	46738n46739_normal	proteomic profiling by mass spectrometry	MSB46738n46739A.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT131N	1	NT=HCD;AC=MS:1000422	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.03 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MSB46739
MSB8405PAIR1_T	Homo sapiens	not available	carcinoma	not available	not available	8405_PAIR1	not available	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	8405_PAIR1_tumor	proteomic profiling by mass spectrometry	MSB8405PAIR1MS2TMT.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT130C	1	NT=HCD;AC=MS:1000422	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.03 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MSB8405PAIR1_T
MSB8405PAIR1_N	Homo sapiens	not available	normal	not available	not available	8405_PAIR1	not available	tissue	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	8405_PAIR1_normal	proteomic profiling by mass spectrometry	MSB8405PAIR1MS2TMT.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT131N	1	NT=HCD;AC=MS:1000422	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=Any N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.03 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	MSB8405PAIR1_N
