source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[individual]	characteristics[origin]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[file uri]	comment[fragment mass tolerance]	comment[ion exchange method]	comment[precursor mass tolerance]	comment[salt step]	comment[technical replicate]	comment[data file]	factor value[cell type]
PXD026127-Sample 1	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 1	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08092018_CD3_FT_F1_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	1	LCA_08092018_CD3_FT_F1_CID_01.raw	cd4
PXD026127-Sample 2	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 2	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000628	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08092018_CD3_FT_F1_CID_03.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	2	LCA_08092018_CD3_FT_F1_CID_03.raw	cd4
PXD026127-Sample 3	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 3	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000629	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08092018_CD3_FT_F1_ETD_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	3	LCA_08092018_CD3_FT_F1_ETD_02.raw	cd4
PXD026127-Sample 4	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 4	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000630	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08092018_CD3_FT_F2_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	1	LCA_08092018_CD3_FT_F2_CID_01.raw	cd4
PXD026127-Sample 5	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 5	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000631	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08092018_CD3_FT_F2_CID_03.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	2	LCA_08092018_CD3_FT_F2_CID_03.raw	cd4
PXD026127-Sample 6	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 6	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000632	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08092018_CD3_FT_F2_ETD_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	3	LCA_08092018_CD3_FT_F2_ETD_02.raw	cd4
PXD026127-Sample 7	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 7	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000633	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08092018_CD3_FT_F3_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	1	LCA_08092018_CD3_FT_F3_CID_01.raw	cd4
PXD026127-Sample 8	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 8	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08092018_CD3_FT_F3_CID_03.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	2	LCA_08092018_CD3_FT_F3_CID_03.raw	cd4
PXD026127-Sample 9	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 9	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000635	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08092018_CD8_FT_F3_ETD_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	3	LCA_08092018_CD8_FT_F3_ETD_02.raw	cd4
PXD026127-Sample 10	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 10	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000636	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_CD3_FT_F4_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	1	LCA_08112018_CD3_FT_F4_CID_02.raw	cd4
