source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
ICC1882_DT_BR3	Cicer arietinum	Root	1	ICC1882_DT_BR3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	ICC1882_DT_BR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
ICC1882_DT_BR1	Cicer arietinum	Root	1	ICC1882_DT_BR1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	ICC1882_DT_BR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
ICC1882_CT_BR4	Cicer arietinum	Root	1	ICC1882_CT_BR4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	ICC1882_CT_BR4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
ICC4958_DT_BR4	Cicer arietinum	Root	1	ICC4958_DT_BR4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	ICC4958_DT_BR4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
ICC4958_DT_BR3	Cicer arietinum	Root	1	ICC4958_DT_BR3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	ICC4958_DT_BR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
ICC4958_DT_BR2	Cicer arietinum	Root	1	ICC4958_DT_BR2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	ICC4958_DT_BR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
ICC4958_DT_BR1	Cicer arietinum	Root	1	ICC4958_DT_BR1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	ICC4958_DT_BR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
ICC1882_CT_BR2	Cicer arietinum	Root	1	ICC1882_CT_BR2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	ICC1882_CT_BR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
ICC1882_DT_BR2	Cicer arietinum	Root	1	ICC1882_DT_BR2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	ICC1882_DT_BR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
ICC1882_CT_BR3	Cicer arietinum	Root	1	ICC1882_CT_BR3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	ICC1882_CT_BR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
ICC4958_CT_BR2	Cicer arietinum	Root	1	ICC4958_CT_BR2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	ICC4958_CT_BR2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
ICC1882_CT_BR1	Cicer arietinum	Root	1	ICC1882_CT_BR1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	ICC1882_CT_BR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
ICC4958_CT_BR3	Cicer arietinum	Root	1	ICC4958_CT_BR3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	ICC4958_CT_BR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
ICC1882_DT_BR4	Cicer arietinum	Root	1	ICC1882_DT_BR4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	ICC1882_DT_BR4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
ICC4958_CT_BR1	Cicer arietinum	Root	1	ICC4958_CT_BR1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	ICC4958_CT_BR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
ICC4958_CT_BR4	Cicer arietinum	Root	1	ICC4958_CT_BR4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	ICC4958_CT_BR4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
