source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	characteristics[strain/breed]	characteristics[time]	characteristics[treatment]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[file uri]	comment[separation]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[scan window upper limit]	comment[number of missed cleavages]	comment[collision energy]	factor value[substrate]	factor value[batch]
Sample 1	Pleurotus pulmonarius	culture supernatant	not applicable	not applicable	not applicable	1	LGAM 28684	10 day	xylose	run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	40 ppm	0.02 Da	1	1	E26698_3ul_PAC_PRC5442.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	https://ftp.ebi.ac.uk/pride-archive/2025/E26698_3ul_PAC_PRC5442.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000484; NT=Orbitrap	400m/z-2000m/z		2	25% NCE	xylose	culture1_ms1
Sample 2	Pleurotus pulmonarius	culture supernatant	not applicable	not applicable	not applicable	2	LGAM 28684	10 day	xylose	run 2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	40 ppm	0.02 Da	1	1	E26704_3ul_PAC_PRC5442.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	https://ftp.ebi.ac.uk/pride-archive/2025/E26704_3ul_PAC_PRC5442.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000484; NT=Orbitrap	400m/z-2000m/z		2	25% NCE	xylose	culture1_ms1
Sample 3	Pleurotus pulmonarius	culture supernatant	not applicable	not applicable	not applicable	3	LGAM 28684	10 day	xylose	run 3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	40 ppm	0.02 Da	1	1	B28551_10ul_IonOpt_PRC6063.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	https://ftp.ebi.ac.uk/pride-archive/2025/B28551_10ul_IonOpt_PRC6063.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000484; NT=Orbitrap	375m/z-1500m/z		2	28% NCE	xylose	culture2_ms2
Sample 4	Pleurotus pulmonarius	culture supernatant	not applicable	not applicable	not applicable	4	LGAM 28684	10 day	corn stover	run 4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	40 ppm	0.02 Da	1	1	E28115_5ul_PAC_PRC5590.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	https://ftp.ebi.ac.uk/pride-archive/2025/E28115_5ul_PAC_PRC5590.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000484; NT=Orbitrap	400m/z-2000m/z		2	25% NCE	corn stover	culture1_ms1
Sample 5	Pleurotus pulmonarius	culture supernatant	not applicable	not applicable	not applicable	5	LGAM 28684	10 day	corn stover	run 5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	40 ppm	0.02 Da	1	1	B28547_10ul_IonOpt_PRC6063.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	https://ftp.ebi.ac.uk/pride-archive/2025/B28547_10ul_IonOpt_PRC6063.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000484; NT=Orbitrap	375m/z-1500m/z		2	28% NCE	corn stover	culture1_ms2
Sample 6	Pleurotus pulmonarius	culture supernatant	not applicable	not applicable	not applicable	6	LGAM 28684	10 day	corn stover	run 6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	40 ppm	0.02 Da	1	1	B28549_10ul_IonOpt_PRC6063.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	https://ftp.ebi.ac.uk/pride-archive/2025/B28549_10ul_IonOpt_PRC6063.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000484; NT=Orbitrap	375m/z-1500m/z		2	28% NCE	corn stover	culture1_ms2
Sample 7	Pleurotus pulmonarius	culture supernatant	not applicable	not applicable	not applicable	7	LGAM 28684	10 day	beachwood	run 7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	40 ppm	0.02 Da	1	1	B28553_10ul_IonOpt_PRC6063.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	https://ftp.ebi.ac.uk/pride-archive/2025/B28553_10ul_IonOpt_PRC6063.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000484; NT=Orbitrap	375m/z-1500m/z		2	28% NCE	beachwood	culture2_ms2
Sample 8	Pleurotus pulmonarius	culture supernatant	not applicable	not applicable	not applicable	8	LGAM 28684	10 day	beachwood	run 8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	40 ppm	0.02 Da	1	1	B28543_10ul_IonOpt_PRC6063.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	https://ftp.ebi.ac.uk/pride-archive/2025/B28543_10ul_IonOpt_PRC6063.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000484; NT=Orbitrap	375m/z-1500m/z		2	28% NCE	beachwood	culture2_ms2
Sample 9	Pleurotus pulmonarius	culture supernatant	not applicable	not applicable	not applicable	9	LGAM 28684	10 day	beachwood	run 9	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	40 ppm	0.02 Da	1	1	B28545_10ul_IonOpt_PRC6063.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	https://ftp.ebi.ac.uk/pride-archive/2025/B28545_10ul_IonOpt_PRC6063.raw	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1000484; NT=Orbitrap	375m/z-1500m/z		2	28% NCE	beachwood	culture2_ms2
