source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[cellular component]	factor value[fractionation method]
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_23_Excl_BarH_IM2_16to17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	16	2	20011221_23_Excl_BarH_IM2_16to17.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_24_Excl_BarH_IM2_18to19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	18	2	20011221_24_Excl_BarH_IM2_18to19.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_25_Excl_BarH_IM2_20to21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	20	2	20011221_25_Excl_BarH_IM2_20to21.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_26_Excl_BarH_IM2_22to23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	22	2	20011221_26_Excl_BarH_IM2_22to23.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_27_Excl_BarH_IM2_24to25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	24	2	20011221_27_Excl_BarH_IM2_24to25.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_28_Excl_BarH_IM2_26to27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	26	2	20011221_28_Excl_BarH_IM2_26to27.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_29_Excl_BarH_IM2_28to29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	28	2	20011221_29_Excl_BarH_IM2_28to29.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_30_Excl_BarH_IM2_30to31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	30	2	20011221_30_Excl_BarH_IM2_30to31.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_31_Excl_BarH_IM2_32to33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	32	2	20011221_31_Excl_BarH_IM2_32to33.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_32_Excl_BarH_IM2_34to35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	34	2	20011221_32_Excl_BarH_IM2_34to35.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
