source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
B0101213_004	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B0101213_004	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B0101213_004.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B0101213_004.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_072	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_072	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_072.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_072.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B101210_048	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B101210_048	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B101210_048.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B101210_048.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B0101213_027	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B0101213_027	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B0101213_027.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B0101213_027.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_077	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_077	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_077.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_077.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B0101213_011	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B0101213_011	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B0101213_011.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B0101213_011.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B090311_010	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B090311_010	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B090311_010.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B090311_010.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_020	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_020	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_020.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_020.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_006	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_006	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_006.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_006.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_010	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_010	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_010.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_010.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B0101213_020	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B0101213_020	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B0101213_020.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B0101213_020.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B0101213_001	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B0101213_001	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B0101213_001.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B0101213_001.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B101210_045	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B101210_045	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B101210_045.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B101210_045.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B090307_008	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B090307_008	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B090307_008.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B090307_008.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_015	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_015	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_015.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_015.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B0101213_041	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B0101213_041	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B0101213_041.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B0101213_041.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_057	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_057	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_057.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_057.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_088	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_088	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_088.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_088.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B101210_030	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B101210_030	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B101210_030.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B101210_030.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_081	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_081	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_081.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_081.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B101210_033	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B101210_033	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B101210_033.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B101210_033.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_086	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_086	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_086.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_086.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_023	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_023	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_023.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_023.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B0101213_021	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B0101213_021	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B0101213_021.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B0101213_021.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
