id	tier	group	label	reason	organism_taxname	pride_organism_part	sdrf_organism_part	sdrf_cell_type	pmid	n_sdrf_rows	instrument	quantification	experiment_types	title
PXD003792	T2	human	include	annotated in this batch	Homo sapiens (human)	Fetal cardiomyocyte	heart	fetal cardiomyocyte	27245613	7	LTQ Orbitrap Velos	not available	Gel-based experiment	Protein kinase A-dependent phosphorylation stimulates the transcriptional activity of hypoxia-inducible factor 1, part 1
PXD009133	T2	human	include	annotated in this batch	Homo sapiens (human)	Cardiac muscle cell line;Cardiac muscle tissue	not available	not available	not available	67	Q Exactive HF	not available	Shotgun proteomics;SWATH MS	Screening in Human Cardiac Organoids Identifies a Critical Role for the Mevalonate Pathway in Cardiomyocyte Proliferation
PXD014791	T2	human	include	annotated in this batch	Homo sapiens (human)	Cell culture;Cardiac muscle cell	heart	cardiac muscle cell	not available	381	Q Exactive	Label free	Shotgun proteomics	Proteomic cellular signatures of kinase inhibitor-induced cardiotoxicity
PXD019266	T2	human	include	annotated in this batch	Homo sapiens (human)	Cardiomyocyte cell line	not available	not available	37105170	39	Orbitrap Eclipse	not available	Shotgun proteomics	Proteomics of vascularized cardiac organoids
PXD034258	T2	human	include	annotated in this batch	Homo sapiens (human)	Cardiocyte	heart	cardiocyte	36078153	12	Q Exactive	Label free	Shotgun proteomics	Protein Profiling of human iPSC-derived cardiomyocytes with mutations in ACTN2
PXD035113	T2	human	include	annotated in this batch	Homo sapiens (human)	Aortic valve	aortic valve	not available	not available	45	maXis	not available	Shotgun proteomics	Proteolytic degradation is the culprit behind a bioprosthetic heart valve failure
PXD035535	T2	human	include	annotated in this batch	Homo sapiens (human)	Cardiomyocyte cell line	not available	not available	not available	40	Orbitrap Exploris 480	Data-independent acquisition	SWATH MS	Phosphoproteomics of cardiac organoids derived from ALPK3 knockout hPSCs
PXD038417	T2	human	include	annotated in this batch	Homo sapiens (human)	Regular cardiac myocyte	heart	regular cardiac myocyte	not available	20	Q Exactive HF	Label free	All-ion fragmentation	Protein Profiling of human iPSC-derived cardiomyocytes with a recessive LZTR1 variant in comparison to CRISPR/Cas9-corrected cells
PXD038425	T2	human	include	annotated in this batch	Homo sapiens (human)	Regular cardiac myocyte	heart	regular cardiac myocyte	not available	11	Q Exactive HF	Label free	All-ion fragmentation	Protein Profiling of human iPSC-derived cardiomyocytes with a recessive LZTR1 variant in comparison to wild type cells
PXD044594	T2	human	include	annotated in this batch	Homo sapiens (human)	Cell culture;Cardiac muscle cell	heart	cardiac muscle cell	38797778	36	timsTOF Pro	Label free	Shotgun proteomics	Differential regulation of metabolome and proteome of plasma and CM EVs in HC
PXD045013	T2	human	include	annotated in this batch	Homo sapiens (human)	Cardiac endothelial cell;Cell culture	heart	cardiac endothelial cell	not available	100	Orbitrap Fusion Lumos	Label free	Shotgun proteomics	Cysteine-rich with EGF-like domains 2 (CRELD2) is an endoplasmic reticulum stress-inducible angiogenic growth factor promoting ischemic heart repair
PXD052254	T2	human	include	annotated in this batch	Homo sapiens (human)	Cardiac muscle cell	heart	cardiac muscle cell	not available	7	Orbitrap Fusion Lumos	not available	Data-dependent acquisition;Bottom-up proteomics	RYR2-deficient human hiPSC-derived cardiomyocyte protein expression
PXD059985	T2	human	include	annotated in this batch	Homo sapiens (human)	Cardiocyte differentiation	not available	not available	not available	8	Orbitrap Exploris 480	label-free quantification	Data-independent acquisition;Bottom-up proteomics	Mitochondrial metabolism and hypoxic signaling in differentiated human cardiomyocyte AC16 cell line
PXD068671	T2	human	include	annotated in this batch	Homo sapiens (human)	Cardiac muscle	cardiac muscle tissue	not available	41546080	46	Orbitrap Ascend	not available	Bottom-up proteomics	Defining the cardiac acetylome in type 2 diabetes
PXD078686	T2	human	include	annotated in this batch	Homo sapiens (human)	Aortic valve	aortic valve	not available	not available	125	Q Exactive HF	not available	Data-dependent acquisition	Hyalectan Remodeling Contributes to Aortic Stenosis: Insights from Proteomics and Glycoproteomics
PXD019380	T2	mouse	include	annotated in this batch	Mus musculus (mouse)	Cell culture;Cardiac muscle cell	heart	cardiac muscle cell	not available	456	Q Exactive	MS1 intensity based label-free quantification method	Shotgun proteomics	The Caveolin3 complex stabilizes functional surface expression of the Lactate-Proton Shuttle McT1 but not the sodium channel Nav1.5 in cardiomyocytes
