source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
RagA-deficient macrophage 1	Mus musculus	macrophage	macrophage	1	not applicable	not available	not applicable	not applicable	Proteomic analysis of WT and RagA-deficient macrophages that have phagocytosed SILAC-bacteria	proteomic profiling by mass spectrometry	1	jg210712_05.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
RagA-deficient macrophage 2	Mus musculus	macrophage	macrophage	2	not applicable	not available	not applicable	not applicable	Proteomic analysis of WT and RagA-deficient macrophages that have phagocytosed SILAC-bacteria	proteomic profiling by mass spectrometry	1	jg210712_01.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
RagA-deficient macrophage 3	Mus musculus	macrophage	macrophage	3	not applicable	not available	not applicable	not applicable	Proteomic analysis of WT and RagA-deficient macrophages that have phagocytosed SILAC-bacteria	proteomic profiling by mass spectrometry	1	jg210712_06.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
RagA-deficient macrophage 4	Mus musculus	macrophage	macrophage	4	not applicable	not available	not applicable	not applicable	Proteomic analysis of WT and RagA-deficient macrophages that have phagocytosed SILAC-bacteria	proteomic profiling by mass spectrometry	1	jg210712_04.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
WT macrophage 1	Mus musculus	macrophage	macrophage	1	not applicable	not available	not applicable	not applicable	Proteomic analysis of WT and RagA-deficient macrophages that have phagocytosed SILAC-bacteria	proteomic profiling by mass spectrometry	1	jg210712_08.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
WT macrophage 2	Mus musculus	macrophage	macrophage	2	not applicable	not available	not applicable	not applicable	Proteomic analysis of WT and RagA-deficient macrophages that have phagocytosed SILAC-bacteria	proteomic profiling by mass spectrometry	1	jg210712_02.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
WT macrophage 3	Mus musculus	macrophage	macrophage	3	not applicable	not available	not applicable	not applicable	Proteomic analysis of WT and RagA-deficient macrophages that have phagocytosed SILAC-bacteria	proteomic profiling by mass spectrometry	1	jg210712_03.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
WT macrophage 4	Mus musculus	macrophage	macrophage	4	not applicable	not available	not applicable	not applicable	Proteomic analysis of WT and RagA-deficient macrophages that have phagocytosed SILAC-bacteria	proteomic profiling by mass spectrometry	1	jg210712_07.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	not available	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
