source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[compound]	characteristics[disease]	assay name	technology type	comment[cleavage agent details]	comment[data file]	comment[dissociation method]	comment[fraction identifier]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[tool metadata]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
0 x HRT A	Candidatus Kuenenia	Cell suspension culture	1		not applicable	0 x HRT A	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	01_6_27_12C_01.raw	higher energy beam-type collision-induced dissociation	1	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	1	lesSDRF v0.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
0 x HRT B	Candidatus Kuenenia	Cell suspension culture	2		not applicable	0 x HRT B	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	02_6_27_12C_02.raw	higher energy beam-type collision-induced dissociation	1	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	1	lesSDRF v0.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
0 x HRT C	Candidatus Kuenenia	Cell suspension culture	3		not applicable	0 x HRT C	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	03_6_27_12C_03.raw	higher energy beam-type collision-induced dissociation	1	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	1	lesSDRF v0.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
1 x HRT A mixed	Candidatus Kuenenia	Cell suspension culture	1		not applicable	1 x HRT A	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	19_7_01_mix_01.raw	higher energy beam-type collision-induced dissociation	1	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	1	lesSDRF v0.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
1 x HRT B mixed	Candidatus Kuenenia	Cell suspension culture	2		not applicable	1 x HRT B	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	20_7_01_mix_02.raw	higher energy beam-type collision-induced dissociation	1	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	1	lesSDRF v0.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
1 x HRT C mixed	Candidatus Kuenenia	Cell suspension culture	3		not applicable	1 x HRT C	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	21_7_01_mix_03.raw	higher energy beam-type collision-induced dissociation	1	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	1	lesSDRF v0.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
5.25 x HRT A mixed	Candidatus Kuenenia	Cell suspension culture	1		not applicable	5.25 x HRT A	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	22_7_18_mix_01.raw	higher energy beam-type collision-induced dissociation	1	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	1	lesSDRF v0.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
5.25 x HRT B mixed	Candidatus Kuenenia	Cell suspension culture	2		not applicable	5.25 x HRT B	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	23_7_18_mix_02.raw	higher energy beam-type collision-induced dissociation	1	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	1	lesSDRF v0.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
5.25 x HRT B mixed	Candidatus Kuenenia	Cell suspension culture	3		not applicable	0 x HRT C	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	24_7_18_mix_03.raw	higher energy beam-type collision-induced dissociation	1	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	1	lesSDRF v0.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
