source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
G93A_RBC_Control	Mus musculus	blood	erythrocyte	organism part	amyotrophic lateral sclerosis type 1	adult	not available	not available	SOD1 G93A	untreated	1	G93A_RBC_Control_IVPD	proteomic profiling by mass spectrometry	NT=Xevo G2-S QTof;AC=MS:1002276	NT=label free sample;AC=MS:1002038	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	1	1	G93A_RBC_Control_IVPD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	untreated
G93A_RBC_S-XL6	Mus musculus	blood	erythrocyte	organism part	amyotrophic lateral sclerosis type 1	adult	not available	not available	SOD1 G93A	S-XL6	1	G93A_RBC_S-XL6_10mgkg_1hr_IVPD	proteomic profiling by mass spectrometry	NT=Xevo G2-S QTof;AC=MS:1002276	NT=label free sample;AC=MS:1002038	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	not available	1	1	G93A_RBC_S-XL6_10mgkg_1hr_IVPD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	S-XL6
