source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20110801_THP1_0_5_15min_c04	homo sapiens	Cell culture	not applicable	acute leukemia	enrichment of phosphorylated protein	1	20110801_THP1_0_5_15min_c04	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	20110801_THP1_0_5_15min_c04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002496/20110801_THP1_0_5_15min_c04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell culture
20110801_THP1_0_5_15min_b09	homo sapiens	Cell culture	not applicable	acute leukemia	enrichment of phosphorylated protein	1	20110801_THP1_0_5_15min_b09	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	20110801_THP1_0_5_15min_b09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002496/20110801_THP1_0_5_15min_b09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell culture
20110801_THP1_0_30_60min_a07	homo sapiens	Cell culture	not applicable	acute leukemia	enrichment of phosphorylated protein	1	20110801_THP1_0_30_60min_a07	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	20110801_THP1_0_30_60min_a07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002496/20110801_THP1_0_30_60min_a07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell culture
20110801_THP1_0_30_60min_b13	homo sapiens	Cell culture	not applicable	acute leukemia	enrichment of phosphorylated protein	1	20110801_THP1_0_30_60min_b13	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	20110801_THP1_0_30_60min_b13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002496/20110801_THP1_0_30_60min_b13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell culture
20110801_THP1_0_5_15min_a15	homo sapiens	Cell culture	not applicable	acute leukemia	enrichment of phosphorylated protein	1	20110801_THP1_0_5_15min_a15	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	20110801_THP1_0_5_15min_a15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002496/20110801_THP1_0_5_15min_a15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell culture
20110801_THP1_0_30_60min_a08	homo sapiens	Cell culture	not applicable	acute leukemia	enrichment of phosphorylated protein	1	20110801_THP1_0_30_60min_a08	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	20110801_THP1_0_30_60min_a08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002496/20110801_THP1_0_30_60min_a08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell culture
20110801_THP1_0_30_60min_b07	homo sapiens	Cell culture	not applicable	acute leukemia	enrichment of phosphorylated protein	1	20110801_THP1_0_30_60min_b07	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	20110801_THP1_0_30_60min_b07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002496/20110801_THP1_0_30_60min_b07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell culture
20110801_THP1_0_30_60min_b03	homo sapiens	Cell culture	not applicable	acute leukemia	enrichment of phosphorylated protein	1	20110801_THP1_0_30_60min_b03	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	20110801_THP1_0_30_60min_b03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002496/20110801_THP1_0_30_60min_b03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell culture
20110801_THP1_0_5_15min_b06	homo sapiens	Cell culture	not applicable	acute leukemia	enrichment of phosphorylated protein	1	20110801_THP1_0_5_15min_b06	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	20110801_THP1_0_5_15min_b06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002496/20110801_THP1_0_5_15min_b06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell culture
20110801_THP1_0_5_15min_b01	homo sapiens	Cell culture	not applicable	acute leukemia	enrichment of phosphorylated protein	1	20110801_THP1_0_5_15min_b01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	20110801_THP1_0_5_15min_b01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002496/20110801_THP1_0_5_15min_b01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell culture
