source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20221224_RyanLab_nanoparticle_mouse_serum_12	Mus musculus	Not available	not available	not available	1	20221224_RyanLab_nanoparticle_mouse_serum_12	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20221224_RyanLab_nanoparticle_mouse_serum_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
20221224_RyanLab_nanoparticle_mouse_serum_18	Mus musculus	Not available	not available	not available	1	20221224_RyanLab_nanoparticle_mouse_serum_18	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20221224_RyanLab_nanoparticle_mouse_serum_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
20221224_RyanLab_nanoparticle_mouse_serum_06	Mus musculus	Not available	not available	not available	1	20221224_RyanLab_nanoparticle_mouse_serum_06	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20221224_RyanLab_nanoparticle_mouse_serum_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
20221224_RyanLab_nanoparticle_mouse_serum_04	Mus musculus	Not available	not available	not available	1	20221224_RyanLab_nanoparticle_mouse_serum_04	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20221224_RyanLab_nanoparticle_mouse_serum_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
20221224_RyanLab_nanoparticle_mouse_serum_07	Mus musculus	Not available	not available	not available	1	20221224_RyanLab_nanoparticle_mouse_serum_07	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20221224_RyanLab_nanoparticle_mouse_serum_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
20221224_RyanLab_nanoparticle_mouse_serum_11	Mus musculus	Not available	not available	not available	1	20221224_RyanLab_nanoparticle_mouse_serum_11	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20221224_RyanLab_nanoparticle_mouse_serum_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
20221224_RyanLab_nanoparticle_mouse_serum_01	Mus musculus	Not available	not available	not available	1	20221224_RyanLab_nanoparticle_mouse_serum_01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20221224_RyanLab_nanoparticle_mouse_serum_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
20221224_RyanLab_nanoparticle_mouse_serum_14	Mus musculus	Not available	not available	not available	1	20221224_RyanLab_nanoparticle_mouse_serum_14	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20221224_RyanLab_nanoparticle_mouse_serum_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
20221224_RyanLab_nanoparticle_mouse_serum_15	Mus musculus	Not available	not available	not available	1	20221224_RyanLab_nanoparticle_mouse_serum_15	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20221224_RyanLab_nanoparticle_mouse_serum_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
20221224_RyanLab_nanoparticle_mouse_serum_13	Mus musculus	Not available	not available	not available	1	20221224_RyanLab_nanoparticle_mouse_serum_13	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	20221224_RyanLab_nanoparticle_mouse_serum_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
