source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
qe00153	candida albicans	not available	not applicable	not available	enrichment of phosphorylated protein	1	qe00153	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Dimethyl:2H(6)13C(2);AC=UNIMOD:330;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3.5 ppm	strong cation-exchange chromatography (scx)	1	1	qe00153.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001844/qe00153.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
qe00164	candida albicans	not available	not applicable	not available	enrichment of phosphorylated protein	1	qe00164	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Dimethyl:2H(6)13C(2);AC=UNIMOD:330;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3.5 ppm	strong cation-exchange chromatography (scx)	1	1	qe00164.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001844/qe00164.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
qe00159	candida albicans	not available	not applicable	not available	enrichment of phosphorylated protein	1	qe00159	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Dimethyl:2H(6)13C(2);AC=UNIMOD:330;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3.5 ppm	strong cation-exchange chromatography (scx)	1	1	qe00159.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001844/qe00159.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
qe00158	candida albicans	not available	not applicable	not available	enrichment of phosphorylated protein	1	qe00158	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Dimethyl:2H(6)13C(2);AC=UNIMOD:330;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3.5 ppm	strong cation-exchange chromatography (scx)	1	1	qe00158.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001844/qe00158.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
qe00161	candida albicans	not available	not applicable	not available	enrichment of phosphorylated protein	1	qe00161	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Dimethyl:2H(6)13C(2);AC=UNIMOD:330;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3.5 ppm	strong cation-exchange chromatography (scx)	1	1	qe00161.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001844/qe00161.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
qe00152	candida albicans	not available	not applicable	not available	enrichment of phosphorylated protein	1	qe00152	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Dimethyl:2H(6)13C(2);AC=UNIMOD:330;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3.5 ppm	strong cation-exchange chromatography (scx)	1	1	qe00152.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001844/qe00152.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
qe00156	candida albicans	not available	not applicable	not available	enrichment of phosphorylated protein	1	qe00156	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Dimethyl:2H(6)13C(2);AC=UNIMOD:330;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3.5 ppm	strong cation-exchange chromatography (scx)	1	1	qe00156.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001844/qe00156.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
qe00163	candida albicans	not available	not applicable	not available	enrichment of phosphorylated protein	1	qe00163	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Dimethyl:2H(6)13C(2);AC=UNIMOD:330;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3.5 ppm	strong cation-exchange chromatography (scx)	1	1	qe00163.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001844/qe00163.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
qe00155	candida albicans	not available	not applicable	not available	enrichment of phosphorylated protein	1	qe00155	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Dimethyl:2H(6)13C(2);AC=UNIMOD:330;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3.5 ppm	strong cation-exchange chromatography (scx)	1	1	qe00155.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001844/qe00155.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
qe00157	candida albicans	not available	not applicable	not available	enrichment of phosphorylated protein	1	qe00157	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Dimethyl:2H(6)13C(2);AC=UNIMOD:330;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	3.5 ppm	strong cation-exchange chromatography (scx)	1	1	qe00157.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001844/qe00157.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
