source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]
Ecoli_1	Escherichia coli	cell	not available	1	not available	Ecoli_1_proteomics	proteomic profiling by mass spectrometry	1	QX1_21_0092.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Deamidation (NQ); NT=Oxidation (M); NT=Phospho (STY)
Ecoli_2	Escherichia coli	cell	not available	1	not available	Ecoli_2_proteomics	proteomic profiling by mass spectrometry	2	QX1_21_0106.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Deamidation (NQ); NT=Oxidation (M); NT=Phospho (STY)
Ecoli_3	Escherichia coli	cell	not available	1	not available	Ecoli_3_proteomics	proteomic profiling by mass spectrometry	3	QX1_21_0128.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Deamidation (NQ); NT=Oxidation (M); NT=Phospho (STY)
Ecoli_4	Escherichia coli	cell	not available	1	not available	Ecoli_4_proteomics	proteomic profiling by mass spectrometry	4	QX1_21_0110.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Deamidation (NQ); NT=Oxidation (M); NT=Phospho (STY)
Ecoli_5	Escherichia coli	cell	not available	1	not available	Ecoli_5_proteomics	proteomic profiling by mass spectrometry	5	QX1_21_0078.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Deamidation (NQ); NT=Oxidation (M); NT=Phospho (STY)
Ecoli_6	Escherichia coli	cell	not available	1	not available	Ecoli_6_proteomics	proteomic profiling by mass spectrometry	6	QX1_21_0084.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Deamidation (NQ); NT=Oxidation (M); NT=Phospho (STY)
Ecoli_7	Escherichia coli	cell	not available	1	not available	Ecoli_7_proteomics	proteomic profiling by mass spectrometry	7	QX1_21_0080.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Deamidation (NQ); NT=Oxidation (M); NT=Phospho (STY)
Ecoli_8	Escherichia coli	cell	not available	1	not available	Ecoli_8_proteomics	proteomic profiling by mass spectrometry	8	QX1_21_0090.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Deamidation (NQ); NT=Oxidation (M); NT=Phospho (STY)
Ecoli_9	Escherichia coli	cell	not available	1	not available	Ecoli_9_proteomics	proteomic profiling by mass spectrometry	9	QX1_21_0122.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Deamidation (NQ); NT=Oxidation (M); NT=Phospho (STY)
Ecoli_10	Escherichia coli	cell	not available	1	not available	Ecoli_10_proteomics	proteomic profiling by mass spectrometry	10	QX1_21_0046.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Deamidation (NQ); NT=Oxidation (M); NT=Phospho (STY)
