source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[compound]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[compound]
BMVEC-untreated-r1	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	BMVEC-untreated-r1	not applicable	cell	1	run 230515_untreatedBMVEC_rep1.1_A5_1_5515	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230515_untreatedBMVEC_rep1.1_A5_1_5515.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable
BMVEC-untreated-r2	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	BMVEC-untreated-r2	not applicable	cell	2	run 230515_untreatedBMVEC_rep1.2_A5_1_5516	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230515_untreatedBMVEC_rep1.2_A5_1_5516.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable
BMVEC-untreated-r3	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	BMVEC-untreated-r3	not applicable	cell	3	run 230515_untreatedBMVEC_rep1.3_A5_1_5517	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230515_untreatedBMVEC_rep1.3_A5_1_5517.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable
BMVEC-cocaine-r1	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	BMVEC-cocaine-r1	cocaine	cell	1	run 230510_Cocaine_rep1_B3_1_5498	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230510_Cocaine_rep1_B3_1_5498.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	cocaine
BMVEC-cocaine-r2	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	BMVEC-cocaine-r2	cocaine	cell	2	run 230510_Cocaine_rep2_B3_1_5499	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230510_Cocaine_rep2_B3_1_5499.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	cocaine
BMVEC-cocaine-r3	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	BMVEC-cocaine-r3	cocaine	cell	3	run 230510_Cocaine_rep3_B3_1_5500	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230510_Cocaine_rep3_B3_1_5500.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	cocaine
