source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[material type]	characteristics[biological replicate]	characteristics[ancestry category]	characteristics[enrichment process]	characteristics[enrichment method]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[file uri]	comment[collision energy]	factor value[enrichment process]
Sample 1	Danio rerio	somite	not applicable	not applicable	not applicable	12-14 somite stage	not available	not available	organism part	1	not available	not available	not available	Itga5FYLDD_XL_run_1_1	Data-dependent acquisition	Data-dependent acquisition	NT=Orbitrap Fusion Lumos; AC = MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	10 ppm	0.02 Da	1	1	QEp19-1919_Sun_L31.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	not available for now	not available	not available
Sample 1	Danio rerio	somite	not applicable	not applicable	not applicable	12-14 somite stage	not available	not available	organism part	1	not available	not available	not available	Itga5FYLDD_XL_run_1_2	Data-dependent acquisition	Data-dependent acquisition	NT=Orbitrap Fusion Lumos; AC = MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	10 ppm	0.02 Da	1	2	QEp19-1920_Sun_L32.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	not available for now	not available	not available
Sample 2	Danio rerio	somite	not applicable	not applicable	not applicable	12-14 somite stage	not available	not available	organism part	1	not available	not available	not available	Itga5FYLDD_XL_run_2_1	Data-dependent acquisition	Data-dependent acquisition	NT=Orbitrap Fusion Lumos; AC = MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	10 ppm	0.02 Da	1	1	QEp19-2459_Sun_M31.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	not available for now	not available	not available
Sample 2	Danio rerio	somite	not applicable	not applicable	not applicable	12-14 somite stage	not available	not available	organism part	1	not available	not available	not available	Itga5FYLDD_XL_run_2_2	Data-dependent acquisition	Data-dependent acquisition	NT=Orbitrap Fusion Lumos; AC = MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	10 ppm	0.02 Da	1	2	QEp19-2460_Sun_M32.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	not available for now	not available	not available
Sample 3	Danio rerio	somite	not applicable	not applicable	not applicable	12-14 somite stage	not available	not available	organism part	1	not available	not available	not available	Itga5FYLDD_XL_run_3_1	Data-dependent acquisition	Data-dependent acquisition	NT=Orbitrap Fusion Lumos; AC = MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	10 ppm	0.02 Da	1	1	QEp19-2465_Sun_N31.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	not available for now	not available	not available
Sample 3	Danio rerio	somite	not applicable	not applicable	not applicable	12-14 somite stage	not available	not available	organism part	1	not available	not available	not available	Itga5FYLDD_XL_run_3_2	Data-dependent acquisition	Data-dependent acquisition	NT=Orbitrap Fusion Lumos; AC = MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	10 ppm	0.02 Da	1	2	QEp19-2466_Sun_N32.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	not available for now	not available	not available
Sample 4	Danio rerio	somite	not applicable	not applicable	not applicable	12-14 somite stage	not available	not available	organism part	1	not available	not available	not available	Itga5GAAKR_XL_run_1_1	Data-dependent acquisition	Data-dependent acquisition	NT=Orbitrap Fusion Lumos; AC = MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	10 ppm	0.02 Da	1	1	QEp19-2441_Sun_L41.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	not available for now	not available	not available
Sample 4	Danio rerio	somite	not applicable	not applicable	not applicable	12-14 somite stage	not available	not available	organism part	1	not available	not available	not available	Itga5GAAKR_XL_run_1_2	Data-dependent acquisition	Data-dependent acquisition	NT=Orbitrap Fusion Lumos; AC = MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	10 ppm	0.02 Da	1	2	QEp19-2442_Sun_L42.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	not available for now	not available	not available
Sample 5	Danio rerio	somite	not applicable	not applicable	not applicable	12-14 somite stage	not available	not available	organism part	1	not available	not available	not available	Itga5GAAKR_XL_run_2_1	Data-dependent acquisition	Data-dependent acquisition	NT=Orbitrap Fusion Lumos; AC = MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	10 ppm	0.02 Da	1	1	QEp19-2447_Sun_M41.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	not available for now	not available	not available
Sample 5	Danio rerio	somite	not applicable	not applicable	not applicable	12-14 somite stage	not available	not available	organism part	1	not available	not available	not available	Itga5GAAKR_XL_run_2_2	Data-dependent acquisition	Data-dependent acquisition	NT=Orbitrap Fusion Lumos; AC = MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	10 ppm	0.02 Da	1	2	QEp19-2448_Sun_M42.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	not available for now	not available	not available
Sample 6	Danio rerio	somite	not applicable	not applicable	not applicable	12-14 somite stage	not available	not available	organism part	1	not available	not available	not available	Itga5GAAKR_XL_run_3_1	Data-dependent acquisition	Data-dependent acquisition	NT=Orbitrap Fusion Lumos; AC = MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	10 ppm	0.02 Da	1	1	QEp19-2453_Sun_N41.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	not available for now	not available	not available
Sample 6	Danio rerio	somite	not applicable	not applicable	not applicable	12-14 somite stage	not available	not available	organism part	1	not available	not available	not available	Itga5GAAKR_XL_run_3_2	Data-dependent acquisition	Data-dependent acquisition	NT=Orbitrap Fusion Lumos; AC = MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	10 ppm	0.02 Da	1	2	QEp19-2454_Sun_N42.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	not available for now	not available	not available
