source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
V20111101-07_ITMSms2etd	homo sapiens	Cell culture	not applicable	not available	1	V20111101-07_ITMSms2etd	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	V20111101-07_ITMSms2etd.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD003019/V20111101-07_ITMSms2etd.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
V20120412-12_FTMSms2hcd	homo sapiens	Cell culture	not applicable	not available	1	V20120412-12_FTMSms2hcd	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	V20120412-12_FTMSms2hcd.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD003019/V20120412-12_FTMSms2hcd.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
V20111129-17_ITMSms2etd	homo sapiens	Cell culture	not applicable	not available	1	V20111129-17_ITMSms2etd	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	V20111129-17_ITMSms2etd.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD003019/V20111129-17_ITMSms2etd.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
V20120110-13_ITMSms2etd	homo sapiens	Cell culture	not applicable	not available	1	V20120110-13_ITMSms2etd	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	V20120110-13_ITMSms2etd.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD003019/V20120110-13_ITMSms2etd.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
V20111027-14_FTMSms2hcd	homo sapiens	Cell culture	not applicable	not available	1	V20111027-14_FTMSms2hcd	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	V20111027-14_FTMSms2hcd.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD003019/V20111027-14_FTMSms2hcd.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
V20120412-09_FTMSms2hcd	homo sapiens	Cell culture	not applicable	not available	1	V20120412-09_FTMSms2hcd	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	V20120412-09_FTMSms2hcd.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD003019/V20120412-09_FTMSms2hcd.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
V20111027-06_FTMSms2hcd	homo sapiens	Cell culture	not applicable	not available	1	V20111027-06_FTMSms2hcd	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	V20111027-06_FTMSms2hcd.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD003019/V20111027-06_FTMSms2hcd.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
V20121218-10_FTMSms2hcd	homo sapiens	Cell culture	not applicable	not available	1	V20121218-10_FTMSms2hcd	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	V20121218-10_FTMSms2hcd.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD003019/V20121218-10_FTMSms2hcd.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
V20111101-09_ITMSms2etd	homo sapiens	Cell culture	not applicable	not available	1	V20111101-09_ITMSms2etd	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	V20111101-09_ITMSms2etd.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD003019/V20111101-09_ITMSms2etd.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
V20130214-11_FTMSms2hcd	homo sapiens	Cell culture	not applicable	not available	1	V20130214-11_FTMSms2hcd	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	V20130214-11_FTMSms2hcd.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD003019/V20130214-11_FTMSms2hcd.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
