source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[age]	characteristics[sex]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[ms min im]	comment[ms max im]	comment[elution conditions]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[cell type]
skin_basal_keratinocytes_1	Homo sapiens	skin epidermis	basal cell of epidermis	1	normal	cell	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 with 10% glycerol	not available	not available	not available	20230104_TIMS06_LiSc_SA_S333_H75_Basal_Rep1_S4-B9_1_6893	proteomic profiling by mass spectrometry	1	20230104_TIMS06_LiSc_SA_S333_H75_Basal_Rep1_S4-B9_1_6893.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	15.049 ppm	20.1046 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.7	1.3	Evosep One Whisper 20 SPD, Aurora Elite CSI 15 cm x 75 um C18 column at 50 C	300	1200	not available	basal cell of epidermis
skin_basal_keratinocytes_2	Homo sapiens	skin epidermis	basal cell of epidermis	2	normal	cell	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 with 10% glycerol	not available	not available	not available	20230104_TIMS06_LiSc_SA_S333_H75_Basal_Rep2_S4-B10_1_6891	proteomic profiling by mass spectrometry	1	20230104_TIMS06_LiSc_SA_S333_H75_Basal_Rep2_S4-B10_1_6891.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	15.049 ppm	20.1046 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.7	1.3	Evosep One Whisper 20 SPD, Aurora Elite CSI 15 cm x 75 um C18 column at 50 C	300	1200	not available	basal cell of epidermis
skin_basal_keratinocytes_3	Homo sapiens	skin epidermis	basal cell of epidermis	3	normal	cell	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 with 10% glycerol	not available	not available	not available	20230104_TIMS06_LiSc_SA_S333_H75_Basal_Rep3_S4-B11_1_6897	proteomic profiling by mass spectrometry	1	20230104_TIMS06_LiSc_SA_S333_H75_Basal_Rep3_S4-B11_1_6897.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	15.049 ppm	20.1046 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.7	1.3	Evosep One Whisper 20 SPD, Aurora Elite CSI 15 cm x 75 um C18 column at 50 C	300	1200	not available	basal cell of epidermis
skin_basal_keratinocytes_4	Homo sapiens	skin epidermis	basal cell of epidermis	4	normal	cell	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 with 10% glycerol	not available	not available	not available	20230104_TIMS06_LiSc_SA_S333_H75_Basal_Rep4_S4-B12_1_6895	proteomic profiling by mass spectrometry	1	20230104_TIMS06_LiSc_SA_S333_H75_Basal_Rep4_S4-B12_1_6895.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	15.049 ppm	20.1046 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.7	1.3	Evosep One Whisper 20 SPD, Aurora Elite CSI 15 cm x 75 um C18 column at 50 C	300	1200	not available	basal cell of epidermis
skin_suprabasal_keratinocytes_1	Homo sapiens	skin epidermis	suprabasal keratinocyte	1	normal	cell	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 with 10% glycerol	not available	not available	not available	20230104_TIMS06_LiSc_SA_S333_H75_CK10pos_Rep1_S4-A9_1_6890	proteomic profiling by mass spectrometry	1	20230104_TIMS06_LiSc_SA_S333_H75_CK10pos_Rep1_S4-A9_1_6890.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	15.049 ppm	20.1046 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.7	1.3	Evosep One Whisper 20 SPD, Aurora Elite CSI 15 cm x 75 um C18 column at 50 C	300	1200	not available	suprabasal keratinocyte
skin_suprabasal_keratinocytes_2	Homo sapiens	skin epidermis	suprabasal keratinocyte	2	normal	cell	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 with 10% glycerol	not available	not available	not available	20230104_TIMS06_LiSc_SA_S333_H75_CK10pos_Rep2_S4-A10_1_6896	proteomic profiling by mass spectrometry	1	20230104_TIMS06_LiSc_SA_S333_H75_CK10pos_Rep2_S4-A10_1_6896.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	15.049 ppm	20.1046 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.7	1.3	Evosep One Whisper 20 SPD, Aurora Elite CSI 15 cm x 75 um C18 column at 50 C	300	1200	not available	suprabasal keratinocyte
skin_suprabasal_keratinocytes_3	Homo sapiens	skin epidermis	suprabasal keratinocyte	3	normal	cell	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 with 10% glycerol	not available	not available	not available	20230104_TIMS06_LiSc_SA_S333_H75_CK10pos_Rep3_S4-A11_1_6894	proteomic profiling by mass spectrometry	1	20230104_TIMS06_LiSc_SA_S333_H75_CK10pos_Rep3_S4-A11_1_6894.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	15.049 ppm	20.1046 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.7	1.3	Evosep One Whisper 20 SPD, Aurora Elite CSI 15 cm x 75 um C18 column at 50 C	300	1200	not available	suprabasal keratinocyte
skin_suprabasal_keratinocytes_4	Homo sapiens	skin epidermis	suprabasal keratinocyte	4	normal	cell	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 with 10% glycerol	not available	not available	not available	20230104_TIMS06_LiSc_SA_S333_H75_CK10pos_Rep4_S4-A12_1_6892	proteomic profiling by mass spectrometry	1	20230104_TIMS06_LiSc_SA_S333_H75_CK10pos_Rep4_S4-A12_1_6892.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	15.049 ppm	20.1046 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	0.7	1.3	Evosep One Whisper 20 SPD, Aurora Elite CSI 15 cm x 75 um C18 column at 50 C	300	1200	not available	suprabasal keratinocyte
