source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[compound]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[compound]
RBC_control_1	Homo sapiens	blood	normal	erythrocyte	cell	adult	not available	not available	not available	untreated	1	run 1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MKI1810963_A1Control_1_B-E7_1_14512.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	untreated
RBC_control_2	Homo sapiens	blood	normal	erythrocyte	cell	adult	not available	not available	not available	untreated	2	run 2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MKI1810964_A2Control_2_B-E8_1_14513.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	untreated
RBC_control_3	Homo sapiens	blood	normal	erythrocyte	cell	adult	not available	not available	not available	untreated	3	run 3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MKI1810965_A3Control_3_B-E9_1_14514.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	untreated
RBC_cantharidin_1	Homo sapiens	blood	normal	erythrocyte	cell	adult	not available	not available	not available	cantharidin	1	run 4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MKI1810969_C1_High_dose_1B-F1_1_14518.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	cantharidin
RBC_cantharidin_2	Homo sapiens	blood	normal	erythrocyte	cell	adult	not available	not available	not available	cantharidin	2	run 5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MKI1810970_C2_High_dose_2B-F2_1_14519.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	cantharidin
RBC_cantharidin_3	Homo sapiens	blood	normal	erythrocyte	cell	adult	not available	not available	not available	cantharidin	3	run 6	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	MKI1810971_C3_High_dose_3B-F3_1_14520.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	cantharidin
