source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[equalization]	characteristics[individual]	characteristics[origin]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[file uri]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cel type]
PXD026125-Sample 1	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_10-55_a.raw	2.2 Da	10 ppm	1	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_10-55_a.raw	pbmc
PXD026125-Sample 2	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000628	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_15-45_a.raw	2.2 Da	10 ppm	2	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_15-45_a.raw	pbmc
PXD026125-Sample 3	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000629	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_15-45_b.raw	2.2 Da	10 ppm	3	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_15-45_b.raw	pbmc
PXD026125-Sample 4	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000630	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_15-45_c.raw	2.2 Da	10 ppm	4	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_15-45_c.raw	pbmc
PXD026125-Sample 5	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 5	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000631	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_20-40_a.raw	2.2 Da	10 ppm	5	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_01_20-40_a.raw	pbmc
PXD026125-Sample 6	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 6	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000632	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_10-55_a.raw	2.2 Da	10 ppm	1	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_10-55_a.raw	pbmc
PXD026125-Sample 7	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 7	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000633	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_15-45_a.raw	2.2 Da	10 ppm	2	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_15-45_a.raw	pbmc
PXD026125-Sample 8	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 8	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_15-45_b.raw	2.2 Da	10 ppm	3	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_15-45_b.raw	pbmc
PXD026125-Sample 9	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 9	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000635	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_15-45_c.raw	2.2 Da	10 ppm	4	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_15-45_c.raw	pbmc
PXD026125-Sample 10	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 10	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000636	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_20-40_a.raw	2.2 Da	10 ppm	5	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_02_20-40_a.raw	pbmc
