source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[cell line]	characteristics[developmental stage]	characteristics[sex]	characteristics[age]	characteristics[compound]	characteristics[dose]	characteristics[exposure duration]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms1 scan range]	comment[ms min mz]	comment[ms max mz]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
HEK293_DMSO_Rep1	Homo sapiens	kidney	kidney cell	cell line	not applicable	HEK293	adult	female	not available	dimethyl sulfoxide	not available	24 hour	1	272_2023_VV-TMT-Frac3_DMSO_Rep1	proteomic profiling by mass spectrometry	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	TMT126	3	1	HCD	High-pH reversed-phase chromatography	32 NCE	10 ppm	20 ppm	DTT	Iodoacetamide	335m/z-1600m/z	335 m/z	1600 m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable;DIM=beforequant;DPP=afterquant	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=N-term;MT=Variable;DIM=beforequant;DPP=afterquant	272_2023_VV-TMT-Frac3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	DMSO
HEK293_DMSO_Rep2	Homo sapiens	kidney	kidney cell	cell line	not applicable	HEK293	adult	female	not available	dimethyl sulfoxide	not available	24 hour	2	272_2023_VV-TMT-Frac10_DMSO_Rep2	proteomic profiling by mass spectrometry	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	TMT127N	10	1	HCD	High-pH reversed-phase chromatography	32 NCE	10 ppm	20 ppm	DTT	Iodoacetamide	335m/z-1600m/z	335 m/z	1600 m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable;DIM=beforequant;DPP=afterquant	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=N-term;MT=Variable;DIM=beforequant;DPP=afterquant	272_2023_VV-TMT-Frac10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	DMSO
HEK293_DMSO_Rep3	Homo sapiens	kidney	kidney cell	cell line	not applicable	HEK293	adult	female	not available	dimethyl sulfoxide	not available	24 hour	3	272_2023_VV-TMT-Frac19_DMSO_Rep3	proteomic profiling by mass spectrometry	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	TMT127C	19	1	HCD	High-pH reversed-phase chromatography	32 NCE	10 ppm	20 ppm	DTT	Iodoacetamide	335m/z-1600m/z	335 m/z	1600 m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable;DIM=beforequant;DPP=afterquant	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=N-term;MT=Variable;DIM=beforequant;DPP=afterquant	272_2023_VV-TMT-Frac19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	DMSO
HEK293_BI364518_Rep1	Homo sapiens	kidney	kidney cell	cell line	not applicable	HEK293	adult	female	not available	BI-364518	1 uM	24 hour	1	272_2023_VV-TMT-Frac5_BI364518_Rep1	proteomic profiling by mass spectrometry	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	TMT128N	5	1	HCD	High-pH reversed-phase chromatography	32 NCE	10 ppm	20 ppm	DTT	Iodoacetamide	335m/z-1600m/z	335 m/z	1600 m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable;DIM=beforequant;DPP=afterquant	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=N-term;MT=Variable;DIM=beforequant;DPP=afterquant	272_2023_VV-TMT-Frac5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	BI-364518 (GSPT1 PROTAC)
HEK293_BI364518_Rep2	Homo sapiens	kidney	kidney cell	cell line	not applicable	HEK293	adult	female	not available	BI-364518	1 uM	24 hour	2	272_2023_VV-TMT-Frac12_BI364518_Rep2	proteomic profiling by mass spectrometry	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	TMT128C	12	1	HCD	High-pH reversed-phase chromatography	32 NCE	10 ppm	20 ppm	DTT	Iodoacetamide	335m/z-1600m/z	335 m/z	1600 m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable;DIM=beforequant;DPP=afterquant	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=N-term;MT=Variable;DIM=beforequant;DPP=afterquant	272_2023_VV-TMT-Frac12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	BI-364518 (GSPT1 PROTAC)
HEK293_BI364518_Rep3	Homo sapiens	kidney	kidney cell	cell line	not applicable	HEK293	adult	female	not available	BI-364518	1 uM	24 hour	3	272_2023_VV-TMT-Frac20_BI364518_Rep3	proteomic profiling by mass spectrometry	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	TMT129N	20	1	HCD	High-pH reversed-phase chromatography	32 NCE	10 ppm	20 ppm	DTT	Iodoacetamide	335m/z-1600m/z	335 m/z	1600 m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable;DIM=beforequant;DPP=afterquant	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=N-term;MT=Variable;DIM=beforequant;DPP=afterquant	272_2023_VV-TMT-Frac20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	BI-364518 (GSPT1 PROTAC)
HEK293_BI1590068_Rep1	Homo sapiens	kidney	kidney cell	cell line	not applicable	HEK293	adult	female	not available	BI-1590068	1 uM	24 hour	1	272_2023_VV-TMT-Frac8_BI1590068_Rep1	proteomic profiling by mass spectrometry	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	TMT129C	8	1	HCD	High-pH reversed-phase chromatography	32 NCE	10 ppm	20 ppm	DTT	Iodoacetamide	335m/z-1600m/z	335 m/z	1600 m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable;DIM=beforequant;DPP=afterquant	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=N-term;MT=Variable;DIM=beforequant;DPP=afterquant	272_2023_VV-TMT-Frac8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	BI-1590068 (GSPT1 PROTAC)
HEK293_BI1590068_Rep2	Homo sapiens	kidney	kidney cell	cell line	not applicable	HEK293	adult	female	not available	BI-1590068	1 uM	24 hour	2	272_2023_VV-TMT-Frac14_BI1590068_Rep2	proteomic profiling by mass spectrometry	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	TMT130N	14	1	HCD	High-pH reversed-phase chromatography	32 NCE	10 ppm	20 ppm	DTT	Iodoacetamide	335m/z-1600m/z	335 m/z	1600 m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable;DIM=beforequant;DPP=afterquant	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=N-term;MT=Variable;DIM=beforequant;DPP=afterquant	272_2023_VV-TMT-Frac14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	BI-1590068 (GSPT1 PROTAC)
HEK293_BI1590068_Rep3	Homo sapiens	kidney	kidney cell	cell line	not applicable	HEK293	adult	female	not available	BI-1590068	1 uM	24 hour	3	272_2023_VV-TMT-Frac17_BI1590068_Rep3	proteomic profiling by mass spectrometry	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	TMT130C	17	1	HCD	High-pH reversed-phase chromatography	32 NCE	10 ppm	20 ppm	DTT	Iodoacetamide	335m/z-1600m/z	335 m/z	1600 m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable;DIM=beforequant;DPP=afterquant	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=N-term;MT=Variable;DIM=beforequant;DPP=afterquant	272_2023_VV-TMT-Frac17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	BI-1590068 (GSPT1 PROTAC)
HEK293_CHX_Rep1	Homo sapiens	kidney	kidney cell	cell line	not applicable	HEK293	adult	female	not available	cycloheximide	100 ug/mL	24 hour	1	272_2023_VV-TMT-Frac6_CHX_Rep1	proteomic profiling by mass spectrometry	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF	NT=Trypsin;AC=MS:1001251	TMT131N	6	1	HCD	High-pH reversed-phase chromatography	32 NCE	10 ppm	20 ppm	DTT	Iodoacetamide	335m/z-1600m/z	335 m/z	1600 m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable;DIM=beforequant;DPP=afterquant	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=N-term;MT=Variable;DIM=beforequant;DPP=afterquant	272_2023_VV-TMT-Frac6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	cycloheximide
