source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[strain or breed]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[affinity enrichment]
AP-A.replicat.1	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	1	OF_20200914_OEF_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200914_OEF_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Basket-containing pores
AP-A.replicat.2	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	2	OF_20200914_OEF_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200914_OEF_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Basket-containing pores
AP-A.replicat.3	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	3	OF_20200914_OEF_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200914_OEF_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Basket-containing pores
AP-B.replicat.1	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	1	OF_20200911_OEF_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200911_OEF_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Basket-less pores
AP-B.replicat.2	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	2	OF_20200911_OEF_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200911_OEF_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Basket-less pores
AP-B.replicat.3	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	3	OF_20200911_OEF_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200911_OEF_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Basket-less pores
AP-C.replicat.1	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	1	OF_20200911_OEF_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200911_OEF_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	All NPCs
AP-C.replicat.2	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	2	OF_20200911_OEF_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200911_OEF_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	All NPCs
AP-C.replicat.3	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	3	OF_20200911_OEF_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200911_OEF_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	All NPCs
AP-E.Ctln.replicat.1	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	1	OF_20200910_OEF_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200910_OEF_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	IgG negative control
