source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[cultured cell]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
wtMice	NT=Mus musculus;AC=NCBITaxon:10090	mitochondria	not applicable	Hypoxia	not available	1	not applicable	run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	NT=Trypsin	NT=Oxidation; MT=Variable; TA=M	10 ppm	0.05 Da	1	1	YJC_NTU_20230314_DDA_3_wtMice.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
mutMice	NT=Mus musculus;AC=NCBITaxon:10090	mitochondria	not applicable	Hypoxia	not available	1	not applicable	run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	NT=Trypsin	NT=Oxidation; MT=Variable; TA=M	10 ppm	0.05 Da	1	1	YJC_NTU_20230314_DDA_4_mutMice.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
