source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	factor value[organism part]
piglet1_mandib_sublingual_saliva	sus scrofa domesticus	submandibular gland	1	normal	tissue	neonate	Gland-specificsaliva-Orbitrap-fraction1and2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD008853/Gland-specificsaliva-Orbitrap-fraction1and2.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-113	1	NT=HCD;AC=PRIDE:0000590	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	33 NCE	8 ppm	0.8 Da	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=variable;TA=Y;PP=Anywhere	NT=orbitrap;AC=MS:1000484	submandibular gland
piglet1_parotid_saliva	sus scrofa domesticus	parotid gland	1	normal	tissue	neonate	Gland-specificsaliva-Orbitrap-fraction1and2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD008853/Gland-specificsaliva-Orbitrap-fraction1and2.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-114	1	NT=HCD;AC=PRIDE:0000590	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	33 NCE	8 ppm	0.8 Da	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=variable;TA=Y;PP=Anywhere	NT=orbitrap;AC=MS:1000484	parotid gland
piglet2_mandib_sublingual_saliva	sus scrofa domesticus	submandibular gland	2	normal	tissue	neonate	Gland-specificsaliva-Orbitrap-fraction1and2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD008853/Gland-specificsaliva-Orbitrap-fraction1and2.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-115	1	NT=HCD;AC=PRIDE:0000590	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	33 NCE	8 ppm	0.8 Da	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=variable;TA=Y;PP=Anywhere	NT=orbitrap;AC=MS:1000484	submandibular gland
piglet2_parotid_saliva	sus scrofa domesticus	parotid gland	2	normal	tissue	neonate	Gland-specificsaliva-Orbitrap-fraction1and2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD008853/Gland-specificsaliva-Orbitrap-fraction1and2.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-116	1	NT=HCD;AC=PRIDE:0000590	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	33 NCE	8 ppm	0.8 Da	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=variable;TA=Y;PP=Anywhere	NT=orbitrap;AC=MS:1000484	parotid gland
piglet3_mandib_sublingual_saliva	sus scrofa domesticus	submandibular gland	3	normal	tissue	neonate	Gland-specificsaliva-Orbitrap-fraction1and2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD008853/Gland-specificsaliva-Orbitrap-fraction1and2.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-117	1	NT=HCD;AC=PRIDE:0000590	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	33 NCE	8 ppm	0.8 Da	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=variable;TA=Y;PP=Anywhere	NT=orbitrap;AC=MS:1000484	submandibular gland
piglet3_parotid_saliva	sus scrofa domesticus	parotid gland	3	normal	tissue	neonate	Gland-specificsaliva-Orbitrap-fraction1and2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD008853/Gland-specificsaliva-Orbitrap-fraction1and2.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-118	1	NT=HCD;AC=PRIDE:0000590	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	33 NCE	8 ppm	0.8 Da	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=variable;TA=Y;PP=Anywhere	NT=orbitrap;AC=MS:1000484	parotid gland
piglet4_mandib_sublingual_saliva	sus scrofa domesticus	submandibular gland	4	normal	tissue	neonate	Gland-specificsaliva-Orbitrap-fraction1and2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD008853/Gland-specificsaliva-Orbitrap-fraction1and2.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-119	1	NT=HCD;AC=PRIDE:0000590	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	33 NCE	8 ppm	0.8 Da	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=variable;TA=Y;PP=Anywhere	NT=orbitrap;AC=MS:1000484	submandibular gland
piglet4_parotid_saliva	sus scrofa domesticus	parotid gland	4	normal	tissue	neonate	Gland-specificsaliva-Orbitrap-fraction1and2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD008853/Gland-specificsaliva-Orbitrap-fraction1and2.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-121	1	NT=HCD;AC=PRIDE:0000590	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	33 NCE	8 ppm	0.8 Da	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=variable;TA=Y;PP=Anywhere	NT=orbitrap;AC=MS:1000484	parotid gland
piglet1_mandib_sublingual_saliva	sus scrofa domesticus	submandibular gland	1	normal	tissue	neonate	Gland-specificsaliva-Orbitrap-fraction3and4.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD008853/Gland-specificsaliva-Orbitrap-fraction3and4.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-113	2	NT=HCD;AC=PRIDE:0000590	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	33 NCE	8 ppm	0.8 Da	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=variable;TA=Y;PP=Anywhere	NT=orbitrap;AC=MS:1000484	submandibular gland
piglet1_parotid_saliva	sus scrofa domesticus	parotid gland	1	normal	tissue	neonate	Gland-specificsaliva-Orbitrap-fraction3and4.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD008853/Gland-specificsaliva-Orbitrap-fraction3and4.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-114	2	NT=HCD;AC=PRIDE:0000590	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	33 NCE	8 ppm	0.8 Da	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=variable;TA=Y;PP=Anywhere	NT=orbitrap;AC=MS:1000484	parotid gland
