source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
130729-27672-12-ATH-F01	130729-27672-12-ATH-F01	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	130729-27672-12-ATH-F01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	130729-27672-12-ATH-F01.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
130729-27672-12-ATH-F02	130729-27672-12-ATH-F02	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	130729-27672-12-ATH-F02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	130729-27672-12-ATH-F02.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
130729-27672-12-ATH-F03	130729-27672-12-ATH-F03	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	130729-27672-12-ATH-F03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	130729-27672-12-ATH-F03.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
130729-27673-12-ATH-F01	130729-27673-12-ATH-F01	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	130729-27673-12-ATH-F01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	130729-27673-12-ATH-F01.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
130729-27673-12-ATH-F02	130729-27673-12-ATH-F02	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	130729-27673-12-ATH-F02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	130729-27673-12-ATH-F02.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
130729-27673-12-ATH-F03	130729-27673-12-ATH-F03	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	130729-27673-12-ATH-F03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	130729-27673-12-ATH-F03.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
130729-27674-12-ATH-F01_57f2f93a9b47b05ab013_	130729-27674-12-ATH-F01_57f2f93a9b47b05ab013	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	130729-27674-12-ATH-F01_57f2f93a9b47b05ab013_	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	130729-27674-12-ATH-F01_57f2f93a9b47b05ab013_.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
130729-27674-12-ATH-F02_e930a4087ef89bc7d1d9_	130729-27674-12-ATH-F02_e930a4087ef89bc7d1d9	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	130729-27674-12-ATH-F02_e930a4087ef89bc7d1d9_	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	130729-27674-12-ATH-F02_e930a4087ef89bc7d1d9_.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
130729-27674-12-ATH-F03_ca2be5839b2b08651f24_	130729-27674-12-ATH-F03_ca2be5839b2b08651f24	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	130729-27674-12-ATH-F03_ca2be5839b2b08651f24_	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	130729-27674-12-ATH-F03_ca2be5839b2b08651f24_.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28623-12-ATH-F01	131211-28623-12-ATH-F01	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28623-12-ATH-F01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28623-12-ATH-F01.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28623-12-ATH-F02	131211-28623-12-ATH-F02	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28623-12-ATH-F02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28623-12-ATH-F02.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28623-12-ATH-F03	131211-28623-12-ATH-F03	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28623-12-ATH-F03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28623-12-ATH-F03.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28624-13-ATH-F01	131211-28624-13-ATH-F01	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28624-13-ATH-F01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28624-13-ATH-F01.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
