source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
Saci_APTP_TiO2_510-519_17Dec11_BA1_01_3896.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Saci_APTP_TiO2_510-519_17Dec11_BA1_01_3896.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Saci_APTP_TiO2_510-519_17Dec11_BA1_01_3896.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Saci_APTP_TiO2_510-519_17Dec11_BA1_01_3896.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific920-940_RE6_01_1705.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific920-940_RE6_01_1705.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific920-940_RE6_01_1705.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific920-940_RE6_01_1705.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Saci_APTP_TiO2_830-839_17Dec11_BA2_01_3933.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Saci_APTP_TiO2_830-839_17Dec11_BA2_01_3933.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Saci_APTP_TiO2_830-839_17Dec11_BA2_01_3933.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Saci_APTP_TiO2_830-839_17Dec11_BA2_01_3933.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Saci_APTP_TiO2_680-689_17Dec11_BA1_01_3916.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Saci_APTP_TiO2_680-689_17Dec11_BA1_01_3916.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Saci_APTP_TiO2_680-689_17Dec11_BA1_01_3916.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Saci_APTP_TiO2_680-689_17Dec11_BA1_01_3916.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific901-921_GD1_01_1881.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific901-921_GD1_01_1881.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific901-921_GD1_01_1881.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific901-921_GD1_01_1881.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific980-1000_RE6_01_1708.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific980-1000_RE6_01_1708.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific980-1000_RE6_01_1708.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific980-1000_RE6_01_1708.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sci-700-709_RD5_01_2960.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Sci-700-709_RD5_01_2960.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Sci-700-709_RD5_01_2960.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Sci-700-709_RD5_01_2960.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific640-660_RE5_01_1689.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific640-660_RE5_01_1689.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific640-660_RE5_01_1689.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific640-660_RE5_01_1689.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific441-461_GD2_01_1905.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific441-461_GD2_01_1905.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific441-461_GD2_01_1905.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific441-461_GD2_01_1905.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Saci_APTP_TiO2_650-659_17Dec11_BA1_01_3912.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Saci_APTP_TiO2_650-659_17Dec11_BA1_01_3912.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Saci_APTP_TiO2_650-659_17Dec11_BA1_01_3912.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Saci_APTP_TiO2_650-659_17Dec11_BA1_01_3912.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
