source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[material type]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[phenotype]
HEK293T_BEAD_bio1	Homo sapiens	kidney	epithelial cell	normal	embryonic	not available	female	not available	cell	bead-only negative control	1	assay_HEK293T_BEAD_bio1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	HEK_ONLY_BEAD_1.1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	bead-only negative control
HEK293T_BEAD_bio2	Homo sapiens	kidney	epithelial cell	normal	embryonic	not available	female	not available	cell	bead-only negative control	2	assay_HEK293T_BEAD_bio2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	HEK_ONLY_BEAD_1.2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	bead-only negative control
HEK293T_SDM_bio1	Homo sapiens	kidney	epithelial cell	normal	embryonic	not available	female	not available	cell	EDN1 5UTR insertion variant RNA pull-down	1	assay_HEK293T_SDM_bio1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	HEK_SDM_1.1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EDN1 5UTR insertion variant RNA pull-down
HEK293T_SDM_bio2	Homo sapiens	kidney	epithelial cell	normal	embryonic	not available	female	not available	cell	EDN1 5UTR insertion variant RNA pull-down	2	assay_HEK293T_SDM_bio2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	HEK_SDM_1.2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EDN1 5UTR insertion variant RNA pull-down
HEK293T_WT_bio1	Homo sapiens	kidney	epithelial cell	normal	embryonic	not available	female	not available	cell	EDN1 5UTR wild-type RNA pull-down	1	assay_HEK293T_WT_bio1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	HEK_WT_1.1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EDN1 5UTR wild-type RNA pull-down
HEK293T_WT_bio2	Homo sapiens	kidney	epithelial cell	normal	embryonic	not available	female	not available	cell	EDN1 5UTR wild-type RNA pull-down	2	assay_HEK293T_WT_bio2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	HEK_WT_1.2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EDN1 5UTR wild-type RNA pull-down
HUVEC_BEAD_bio1	Homo sapiens	umbilical cord	endothelial cell of umbilical vein	normal	newborn	not available	not available	not available	cell	bead-only negative control	1	assay_HUVEC_BEAD_bio1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	HUVEC_ONLY_BEAD_1.1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	bead-only negative control
HUVEC_BEAD_bio2	Homo sapiens	umbilical cord	endothelial cell of umbilical vein	normal	newborn	not available	not available	not available	cell	bead-only negative control	2	assay_HUVEC_BEAD_bio2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	HUVEC_ONLY_BEAD_1.2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	bead-only negative control
HUVEC_SDM_bio1	Homo sapiens	umbilical cord	endothelial cell of umbilical vein	normal	newborn	not available	not available	not available	cell	EDN1 5UTR insertion variant RNA pull-down	1	assay_HUVEC_SDM_bio1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	HUVEC_SDM_1.1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EDN1 5UTR insertion variant RNA pull-down
HUVEC_SDM_bio2	Homo sapiens	umbilical cord	endothelial cell of umbilical vein	normal	newborn	not available	not available	not available	cell	EDN1 5UTR insertion variant RNA pull-down	2	assay_HUVEC_SDM_bio2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	HUVEC_SDM_1.2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EDN1 5UTR insertion variant RNA pull-down
