source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
733WS_PEPTIDE_SUMMARY.tabular	733WS_PEPTIDE_SUMMARY.tabular	Streptococcus mutans 19	Epithelial cell	not applicable	Dental caries	Protein_expression_patterns_associated_with_sucrose-induced_dysbiosis_are_conserved_across_taxonomically_diverse_oral_microcosm_biofilm_models_of_dental_caries	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	733WS_PEPTIDE_SUMMARY.tabular	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	733WS_PEPTIDE_SUMMARY.tabular	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
760WS_PEPTIDE_SUMMARY.tabular	760WS_PEPTIDE_SUMMARY.tabular	Streptococcus mutans 19	Epithelial cell	not applicable	Dental caries	Protein_expression_patterns_associated_with_sucrose-induced_dysbiosis_are_conserved_across_taxonomically_diverse_oral_microcosm_biofilm_models_of_dental_caries	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	760WS_PEPTIDE_SUMMARY.tabular	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	760WS_PEPTIDE_SUMMARY.tabular	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
769WS_PEPTIDE_SUMMARY.tabular	769WS_PEPTIDE_SUMMARY.tabular	Streptococcus mutans 19	Epithelial cell	not applicable	Dental caries	Protein_expression_patterns_associated_with_sucrose-induced_dysbiosis_are_conserved_across_taxonomically_diverse_oral_microcosm_biofilm_models_of_dental_caries	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	769WS_PEPTIDE_SUMMARY.tabular	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	769WS_PEPTIDE_SUMMARY.tabular	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
861WS_PEPTIDE_SUMMARY.tabular	861WS_PEPTIDE_SUMMARY.tabular	Streptococcus mutans 19	Epithelial cell	not applicable	Dental caries	Protein_expression_patterns_associated_with_sucrose-induced_dysbiosis_are_conserved_across_taxonomically_diverse_oral_microcosm_biofilm_models_of_dental_caries	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	861WS_PEPTIDE_SUMMARY.tabular	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	861WS_PEPTIDE_SUMMARY.tabular	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
jrudney_chenx096_062313_12871_781NS_09_24	jrudney_chenx096_062313_12871_781NS_09_24	Streptococcus mutans 19	Epithelial cell	not applicable	Dental caries	Protein_expression_patterns_associated_with_sucrose-induced_dysbiosis_are_conserved_across_taxonomically_diverse_oral_microcosm_biofilm_models_of_dental_caries	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	jrudney_chenx096_062313_12871_781NS_09_24	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	jrudney_chenx096_062313_12871_781NS_09_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
jrudney_chenx096_062313_12871_781NS_15_30	jrudney_chenx096_062313_12871_781NS_15_30	Streptococcus mutans 19	Epithelial cell	not applicable	Dental caries	Protein_expression_patterns_associated_with_sucrose-induced_dysbiosis_are_conserved_across_taxonomically_diverse_oral_microcosm_biofilm_models_of_dental_caries	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	jrudney_chenx096_062313_12871_781NS_15_30	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	jrudney_chenx096_062313_12871_781NS_15_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
jrudney_chenx096_062313_12871_781NS_16_31	jrudney_chenx096_062313_12871_781NS_16_31	Streptococcus mutans 19	Epithelial cell	not applicable	Dental caries	Protein_expression_patterns_associated_with_sucrose-induced_dysbiosis_are_conserved_across_taxonomically_diverse_oral_microcosm_biofilm_models_of_dental_caries	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	jrudney_chenx096_062313_12871_781NS_16_31	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	jrudney_chenx096_062313_12871_781NS_16_31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
jrudney_chenx096_062313_12871_781NS_18_33	jrudney_chenx096_062313_12871_781NS_18_33	Streptococcus mutans 19	Epithelial cell	not applicable	Dental caries	Protein_expression_patterns_associated_with_sucrose-induced_dysbiosis_are_conserved_across_taxonomically_diverse_oral_microcosm_biofilm_models_of_dental_caries	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	jrudney_chenx096_062313_12871_781NS_18_33	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	jrudney_chenx096_062313_12871_781NS_18_33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
jrudney_chenx096_062313_12871_781NS_23_38	jrudney_chenx096_062313_12871_781NS_23_38	Streptococcus mutans 19	Epithelial cell	not applicable	Dental caries	Protein_expression_patterns_associated_with_sucrose-induced_dysbiosis_are_conserved_across_taxonomically_diverse_oral_microcosm_biofilm_models_of_dental_caries	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	jrudney_chenx096_062313_12871_781NS_23_38	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	jrudney_chenx096_062313_12871_781NS_23_38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
jrudney_chenx096_070313_12873_781WS_14_29	jrudney_chenx096_070313_12873_781WS_14_29	Streptococcus mutans 19	Epithelial cell	not applicable	Dental caries	Protein_expression_patterns_associated_with_sucrose-induced_dysbiosis_are_conserved_across_taxonomically_diverse_oral_microcosm_biofilm_models_of_dental_caries	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	jrudney_chenx096_070313_12873_781WS_14_29	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	jrudney_chenx096_070313_12873_781WS_14_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
