source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20220322_TTOF01_LC12-19_SA_Orbi4173_Sample3B_E3_1_6574	Danio rerio	spinal cord	not available	1	20220322_TTOF01_LC12-19_SA_Orbi4173_Sample3B_E3_1_6574	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220322_TTOF01_LC12-19_SA_Orbi4173_Sample3B_E3_1_6574.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spinal cord
20220323_TTOF01_LC12-19_SA_Orbi4160_Sample1A_re_F1_1_6409	Danio rerio	spinal cord	not available	1	20220323_TTOF01_LC12-19_SA_Orbi4160_Sample1A_re_F1_1_6409	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220323_TTOF01_LC12-19_SA_Orbi4160_Sample1A_re_F1_1_6409.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spinal cord
20220323_TTOF01_LC12-19_SA_Orbi4160_Sample1B_G1_1_6410	Danio rerio	spinal cord	not available	1	20220323_TTOF01_LC12-19_SA_Orbi4160_Sample1B_G1_1_6410	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220323_TTOF01_LC12-19_SA_Orbi4160_Sample1B_G1_1_6410.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spinal cord
20220323_TTOF01_LC12-19_SA_Orbi4160_Sample1C_H1_1_6411	Danio rerio	spinal cord	not available	1	20220323_TTOF01_LC12-19_SA_Orbi4160_Sample1C_H1_1_6411	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220323_TTOF01_LC12-19_SA_Orbi4160_Sample1C_H1_1_6411.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spinal cord
20220323_TTOF01_LC12-19_SA_Orbi4160_Sample2A_F2_1_6413	Danio rerio	spinal cord	not available	1	20220323_TTOF01_LC12-19_SA_Orbi4160_Sample2A_F2_1_6413	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220323_TTOF01_LC12-19_SA_Orbi4160_Sample2A_F2_1_6413.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spinal cord
20220323_TTOF01_LC12-19_SA_Orbi4160_Sample2B_G2_1_6414	Danio rerio	spinal cord	not available	1	20220323_TTOF01_LC12-19_SA_Orbi4160_Sample2B_G2_1_6414	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220323_TTOF01_LC12-19_SA_Orbi4160_Sample2B_G2_1_6414.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spinal cord
20220323_TTOF01_LC12-19_SA_Orbi4160_Sample2C_H2_1_6415	Danio rerio	spinal cord	not available	1	20220323_TTOF01_LC12-19_SA_Orbi4160_Sample2C_H2_1_6415	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220323_TTOF01_LC12-19_SA_Orbi4160_Sample2C_H2_1_6415.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spinal cord
20220323_TTOF01_LC12-19_SA_Orbi4160_Sample3A_F3_1_6417	Danio rerio	spinal cord	not available	1	20220323_TTOF01_LC12-19_SA_Orbi4160_Sample3A_F3_1_6417	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220323_TTOF01_LC12-19_SA_Orbi4160_Sample3A_F3_1_6417.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spinal cord
20220323_TTOF01_LC12-19_SA_Orbi4160_Sample3B_G3_1_6418	Danio rerio	spinal cord	not available	1	20220323_TTOF01_LC12-19_SA_Orbi4160_Sample3B_G3_1_6418	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220323_TTOF01_LC12-19_SA_Orbi4160_Sample3B_G3_1_6418.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spinal cord
20220323_TTOF01_LC12-19_SA_Orbi4160_Sample3C_H3_1_6419	Danio rerio	spinal cord	not available	1	20220323_TTOF01_LC12-19_SA_Orbi4160_Sample3C_H3_1_6419	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220323_TTOF01_LC12-19_SA_Orbi4160_Sample3C_H3_1_6419.d.7z	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spinal cord
