source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[sampling site]	characteristics[individual]	characteristics[compound]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[compound]
SJSA-1-DMSO-r1	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	dimethyl sulfoxide	cell	1	run SM_DobbelsteinWeber_250325_230425_1Ad_DIAHiSe_50min_5-10-42_12ul_GA1_1_6165	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	SM_DobbelsteinWeber_250325_230425_1Ad_DIAHiSe_50min_5-10-42_12ul_GA1_1_6165.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dimethyl sulfoxide
SJSA-1-DMSO-r1	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	dimethyl sulfoxide	cell	1	run SM_DobbelsteinWeber_250325_230425_1Ad_DIAHiSe_50min_5-10-42_12ul_GA1_1_6167	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	SM_DobbelsteinWeber_250325_230425_1Ad_DIAHiSe_50min_5-10-42_12ul_GA1_1_6167.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dimethyl sulfoxide
SJSA-1-Nutlin-r1	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	Nutlin-3	cell	1	run SM_DobbelsteinWeber_250325_230425_1Ae_DIAHiSe_50min_5-10-42_12ul_GA4_1_6171	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	SM_DobbelsteinWeber_250325_230425_1Ae_DIAHiSe_50min_5-10-42_12ul_GA4_1_6171.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Nutlin-3
SJSA-1-Nutlin-r1	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	Nutlin-3	cell	1	run SM_DobbelsteinWeber_250325_230425_1Ae_DIAHiSe_50min_5-10-42_12ul_GA4_1_6188	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	SM_DobbelsteinWeber_250325_230425_1Ae_DIAHiSe_50min_5-10-42_12ul_GA4_1_6188.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Nutlin-3
SJSA-1-DMSO-poly-r1	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	dimethyl sulfoxide	cell	1	run SM_DobbelsteinWeber_250325_230425_1Af_DIAHiSe_50min_5-10-42_12ul_GB1_1_6175	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	SM_DobbelsteinWeber_250325_230425_1Af_DIAHiSe_50min_5-10-42_12ul_GB1_1_6175.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dimethyl sulfoxide
SJSA-1-DMSO-poly-r1	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	dimethyl sulfoxide	cell	1	run SM_DobbelsteinWeber_250325_230425_1Af_DIAHiSe_50min_5-10-42_12ul_GB1_1_6209	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	SM_DobbelsteinWeber_250325_230425_1Af_DIAHiSe_50min_5-10-42_12ul_GB1_1_6209.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dimethyl sulfoxide
SJSA-1-Nutlin-poly-r1	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	Nutlin-3	cell	1	run SM_DobbelsteinWeber_250325_230425_1Ag_DIAHiSe_50min_5-10-42_12ul_GB4_1_6179	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	SM_DobbelsteinWeber_250325_230425_1Ag_DIAHiSe_50min_5-10-42_12ul_GB4_1_6179.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Nutlin-3
SJSA-1-Nutlin-poly-r1	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	Nutlin-3	cell	1	run SM_DobbelsteinWeber_250325_230425_1Ag_DIAHiSe_50min_5-10-42_12ul_GB4_1_6213	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	SM_DobbelsteinWeber_250325_230425_1Ag_DIAHiSe_50min_5-10-42_12ul_GB4_1_6213.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Nutlin-3
SJSA-1-DMSO-r2	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	dimethyl sulfoxide	cell	2	run SM_DobbelsteinWeber_250325_230425_2Ad_DIAHiSe_50min_5-10-42_12ul_GA2_1_6168	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	SM_DobbelsteinWeber_250325_230425_2Ad_DIAHiSe_50min_5-10-42_12ul_GA2_1_6168.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dimethyl sulfoxide
SJSA-1-DMSO-r2	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	dimethyl sulfoxide	cell	2	run SM_DobbelsteinWeber_250325_230425_2Ad_DIAHiSe_50min_5-10-42_12ul_GA2_1_6185	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	SM_DobbelsteinWeber_250325_230425_2Ad_DIAHiSe_50min_5-10-42_12ul_GA2_1_6185.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dimethyl sulfoxide
