source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[sampling time]
embryo_0h_rep1	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=whole body;AC=BTO:0001489	not applicable	normal	NT=embryo;AC=UBERON:0000922	0 hour	not available	Oregon-R	whole organism	1	run_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	20150829_QEP2_FBU_NC_dm_set1_0h_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	0 hour
embryo_0h_rep2	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=whole body;AC=BTO:0001489	not applicable	normal	NT=embryo;AC=UBERON:0000922	0 hour	not available	Oregon-R	whole organism	2	run_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	20150829_QEP2_FBU_NC_dm_set1_0h_02.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	0 hour
embryo_0h_rep3	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=whole body;AC=BTO:0001489	not applicable	normal	NT=embryo;AC=UBERON:0000922	0 hour	not available	Oregon-R	whole organism	3	run_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	20150829_QEP2_FBU_NC_dm_set1_0h_03.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	0 hour
embryo_0h_rep4	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=whole body;AC=BTO:0001489	not applicable	normal	NT=embryo;AC=UBERON:0000922	0 hour	not available	Oregon-R	whole organism	4	run_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	20150829_QEP2_FBU_NC_dm_set1_0h_04.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	0 hour
embryo_1h_rep1	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=whole body;AC=BTO:0001489	not applicable	normal	NT=embryo;AC=UBERON:0000922	1 hour	not available	Oregon-R	whole organism	1	run_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	20150829_QEP2_FBU_NC_dm_set1_1h_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	1 hour
embryo_1h_rep2	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=whole body;AC=BTO:0001489	not applicable	normal	NT=embryo;AC=UBERON:0000922	1 hour	not available	Oregon-R	whole organism	2	run_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	20150829_QEP2_FBU_NC_dm_set1_1h_02.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	1 hour
embryo_1h_rep3	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=whole body;AC=BTO:0001489	not applicable	normal	NT=embryo;AC=UBERON:0000922	1 hour	not available	Oregon-R	whole organism	3	run_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	20150829_QEP2_FBU_NC_dm_set1_1h_03.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	1 hour
embryo_1h_rep4	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=whole body;AC=BTO:0001489	not applicable	normal	NT=embryo;AC=UBERON:0000922	1 hour	not available	Oregon-R	whole organism	4	run_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	20150829_QEP2_FBU_NC_dm_set1_1h_04.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	1 hour
embryo_2h_rep1	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=whole body;AC=BTO:0001489	not applicable	normal	NT=embryo;AC=UBERON:0000922	2 hour	not available	Oregon-R	whole organism	1	run_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	20150829_QEP2_FBU_NC_dm_set1_2h_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	2 hour
embryo_2h_rep2	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=whole body;AC=BTO:0001489	not applicable	normal	NT=embryo;AC=UBERON:0000922	2 hour	not available	Oregon-R	whole organism	2	run_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	20150829_QEP2_FBU_NC_dm_set1_2h_02.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	2 hour
