source name	characteristics[organism]	characteristics[organism part]	characteristics[strain or breed]	characteristics[genotype]	characteristics[biological replicate]	characteristics[post-translational modification]	assay name	technology type	comment[data file]	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
KO_acyT_1	Klebsiella pneumoniae	not applicable	015710	ΔacyT	1	acetylation	Assay_KO_acyT_1	proteomic profiling by mass spectrometry	Astral-3_24_FPEP250025195-1A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	1	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	ΔacyT
KO_acyT_2	Klebsiella pneumoniae	not applicable	015710	ΔacyT	2	acetylation	Assay_KO_acyT_2	proteomic profiling by mass spectrometry	Astral-3_24_FPEP250025196-1A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	1	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	ΔacyT
KO_acyT_3	Klebsiella pneumoniae	not applicable	015710	ΔacyT	3	acetylation	Assay_KO_acyT_3	proteomic profiling by mass spectrometry	Astral-3_24_FPEP250025197-1A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	1	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	ΔacyT
WT_1	Klebsiella pneumoniae	not applicable	015710	WT	1	acetylation	Assay_WT_1	proteomic profiling by mass spectrometry	Astral-3_24_FPEP250025201-1A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	1	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	WT
WT_2	Klebsiella pneumoniae	not applicable	015710	WT	2	acetylation	Assay_WT_2	proteomic profiling by mass spectrometry	Astral-3_24_FPEP250025202-1A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	1	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	WT
WT_3	Klebsiella pneumoniae	not applicable	015710	WT	3	acetylation	Assay_WT_3	proteomic profiling by mass spectrometry	Astral-3_24_FPEP250025203-1A.raw	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	1	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	WT
