source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
ddd_20131223_cy_TX_001.raw.zip	arabidopsis thaliana	not available	not applicable	not available	1	ddd_20131223_cy_TX_001.raw.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=synapt ms;AC=MS:1001782	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.5 Da	1	1	ddd_20131223_cy_TX_001.raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002187/ddd_20131223_cy_TX_001.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
DD120614_cy23.zip	arabidopsis thaliana	not available	not applicable	not available	1	DD120614_cy23.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=synapt ms;AC=MS:1001782	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.5 Da	1	1	DD120614_cy23.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002187/DD120614_cy23.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
ddd_20131223_cy_LD_2_002.raw.zip	arabidopsis thaliana	not available	not applicable	not available	1	ddd_20131223_cy_LD_2_002.raw.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=synapt ms;AC=MS:1001782	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.5 Da	1	1	ddd_20131223_cy_LD_2_002.raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002187/ddd_20131223_cy_LD_2_002.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
DD060214_TAILS13_1ul.zip	arabidopsis thaliana	not available	not applicable	not available	1	DD060214_TAILS13_1ul.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=synapt ms;AC=MS:1001782	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.5 Da	1	1	DD060214_TAILS13_1ul.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002187/DD060214_TAILS13_1ul.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
ddd_20131223_cy_21_003.raw.zip	arabidopsis thaliana	not available	not applicable	not available	1	ddd_20131223_cy_21_003.raw.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=synapt ms;AC=MS:1001782	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.5 Da	1	1	ddd_20131223_cy_21_003.raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002187/ddd_20131223_cy_21_003.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
DD120614_cy21.zip	arabidopsis thaliana	not available	not applicable	not available	1	DD120614_cy21.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=synapt ms;AC=MS:1001782	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.5 Da	1	1	DD120614_cy21.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002187/DD120614_cy21.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
DD060214_TAILS13_2ul.zip	arabidopsis thaliana	not available	not applicable	not available	1	DD060214_TAILS13_2ul.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=synapt ms;AC=MS:1001782	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.5 Da	1	1	DD060214_TAILS13_2ul.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002187/DD060214_TAILS13_2ul.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
ddd_20131223_cy_21_001.raw.zip	arabidopsis thaliana	not available	not applicable	not available	1	ddd_20131223_cy_21_001.raw.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=synapt ms;AC=MS:1001782	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.5 Da	1	1	ddd_20131223_cy_21_001.raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002187/ddd_20131223_cy_21_001.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
ddd_20131223_cy_LD_1_002.raw.zip	arabidopsis thaliana	not available	not applicable	not available	1	ddd_20131223_cy_LD_1_002.raw.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=synapt ms;AC=MS:1001782	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.5 Da	1	1	ddd_20131223_cy_LD_1_002.raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002187/ddd_20131223_cy_LD_1_002.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
ddd_20131223_cy_LD_1_001.raw.zip	arabidopsis thaliana	not available	not applicable	not available	1	ddd_20131223_cy_LD_1_001.raw.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=synapt ms;AC=MS:1001782	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	7 ppm	0.5 Da	1	1	ddd_20131223_cy_LD_1_001.raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002187/ddd_20131223_cy_LD_1_001.raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
