source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]	comment[MS min charge]	comment[MS max charge]	comment[collision energy]	comment[ms2 mass analyzer]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]
Soil_36	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_27_CWT11f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_37	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_5_CWT10f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_38	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_46_BNZ12f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_39	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_26_BNZ11h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_40	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_51_HAW12h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_41	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_64_CDR12h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_42	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_38_KNZ11h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_43	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_60_LUQ12f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_44	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_43_CDR11h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_45	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_50_HAW12f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_46	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_56_KBS12f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_47	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_40_LUQ11h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_48	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_4_BNZ10h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_49	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_13_KBS10f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_50	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_12_HFR10h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_51	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_42_NWT11h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_52	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_33_HFR11f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_53	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_55_HFR12h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_54	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_10_HBR10h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_55	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_54_HFR12f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_56	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_9_HBR10f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_57	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_14_KBS10h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_58	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_34_HFR11h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_59	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_31_HBR11f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_60	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_48_CTW12f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_61	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_47_BNZ12h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_62	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_39_LUQ11f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_63	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_8_HAW10h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
