source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[material type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[immunopeptidome enrichment method]	characteristics[mhc protein complex]	characteristics[mhc typing]	characteristics[antibody enrichment]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[sample type]
B16F10_cell_rep1	Mus musculus	skin	melanoma	B16F10	CVCL_0159	not available	not available	not applicable	not available	cell line	untreated	1	immunoaffinity purification	MHC class I protein complex	not available	not available	B16F10_ClassI_cell_Rep1	proteomic profiling by mass spectrometry	QEP2_CLE_13602_976_310321.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	untreated	whole cell
B16F10_cell_rep2	Mus musculus	skin	melanoma	B16F10	CVCL_0159	not available	not available	not applicable	not available	cell line	untreated	2	immunoaffinity purification	MHC class I protein complex	not available	not available	B16F10_ClassI_cell_Rep2	proteomic profiling by mass spectrometry	QEP2_CLE_13602_977_310321.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	untreated	whole cell
B16F10_cell_rep3	Mus musculus	skin	melanoma	B16F10	CVCL_0159	not available	not available	not applicable	not available	cell line	untreated	3	immunoaffinity purification	MHC class I protein complex	not available	not available	B16F10_ClassI_cell_Rep3	proteomic profiling by mass spectrometry	QEP2_YS_14601_1067_01092021.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	untreated	whole cell
B16F10_cell_IFNg_rep1	Mus musculus	skin	melanoma	B16F10	CVCL_0159	not available	not available	not applicable	not available	cell line	interferon gamma	1	immunoaffinity purification	MHC class I protein complex	not available	not available	B16F10_ClassI_cellIFNg_Rep1	proteomic profiling by mass spectrometry	QEP2_CLE_13602_978_310321.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	interferon gamma	whole cell
B16F10_cell_IFNg_rep2	Mus musculus	skin	melanoma	B16F10	CVCL_0159	not available	not available	not applicable	not available	cell line	interferon gamma	2	immunoaffinity purification	MHC class I protein complex	not available	not available	B16F10_ClassI_cellIFNg_Rep2	proteomic profiling by mass spectrometry	QEP2_CLE_13602_979_310321.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	interferon gamma	whole cell
B16F10_cell_IFNg_rep3	Mus musculus	skin	melanoma	B16F10	CVCL_0159	not available	not available	not applicable	not available	cell line	interferon gamma	3	immunoaffinity purification	MHC class I protein complex	not available	not available	B16F10_ClassI_cellIFNg_Rep3	proteomic profiling by mass spectrometry	QEP2_YS_14601_1068_01092021.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	interferon gamma	whole cell
B16F10_melanosome_rep1	Mus musculus	skin	melanoma	B16F10	CVCL_0159	not available	not available	not applicable	not available	cell line	untreated	1	immunoaffinity purification	MHC class I protein complex	not available	not available	B16F10_ClassI_melanosome_Rep1	proteomic profiling by mass spectrometry	QEP2_CLE_13602_980_310321.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	untreated	melanosome
B16F10_melanosome_rep2	Mus musculus	skin	melanoma	B16F10	CVCL_0159	not available	not available	not applicable	not available	cell line	untreated	2	immunoaffinity purification	MHC class I protein complex	not available	not available	B16F10_ClassI_melanosome_Rep2	proteomic profiling by mass spectrometry	QEP2_CLE_13602_994_310321.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	untreated	melanosome
B16F10_melanosome_rep3	Mus musculus	skin	melanoma	B16F10	CVCL_0159	not available	not available	not applicable	not available	cell line	untreated	3	immunoaffinity purification	MHC class I protein complex	not available	not available	B16F10_ClassI_melanosome_Rep3	proteomic profiling by mass spectrometry	QEP2_YS_14601_1071_01092021.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	untreated	melanosome
B16F10_melanosome_rep4	Mus musculus	skin	melanoma	B16F10	CVCL_0159	not available	not available	not applicable	not available	cell line	untreated	4	immunoaffinity purification	MHC class I protein complex	not available	not available	B16F10_ClassI_melanosome_Rep4	proteomic profiling by mass spectrometry	QEP2_YS_14601_1072_01092021.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	untreated	melanosome
