source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
allSpectra.HCD.ITMS.iso_1016.apl	allSpectra.HCD.ITMS.iso_1016.apl	Betainfluenzavirus	Blood	not applicable	not available	A_proteomics-based_method_for_identifying_antigens_within_immune_complexes	Blood	Blood	not available	not available	not available	not available	1	allSpectra.HCD.ITMS.iso_1016.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	allSpectra.HCD.ITMS.iso_1016.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood
allSpectra.HCD.ITMS.iso_1020.apl	allSpectra.HCD.ITMS.iso_1020.apl	Betainfluenzavirus	Blood	not applicable	not available	A_proteomics-based_method_for_identifying_antigens_within_immune_complexes	Blood	Blood	not available	not available	not available	not available	1	allSpectra.HCD.ITMS.iso_1020.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	allSpectra.HCD.ITMS.iso_1020.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood
allSpectra.HCD.ITMS.iso_1036.apl	allSpectra.HCD.ITMS.iso_1036.apl	Betainfluenzavirus	Blood	not applicable	not available	A_proteomics-based_method_for_identifying_antigens_within_immune_complexes	Blood	Blood	not available	not available	not available	not available	1	allSpectra.HCD.ITMS.iso_1036.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	allSpectra.HCD.ITMS.iso_1036.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood
allSpectra.HCD.ITMS.iso_1037.apl	allSpectra.HCD.ITMS.iso_1037.apl	Betainfluenzavirus	Blood	not applicable	not available	A_proteomics-based_method_for_identifying_antigens_within_immune_complexes	Blood	Blood	not available	not available	not available	not available	1	allSpectra.HCD.ITMS.iso_1037.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	allSpectra.HCD.ITMS.iso_1037.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood
allSpectra.HCD.ITMS.iso_1050.apl	allSpectra.HCD.ITMS.iso_1050.apl	Betainfluenzavirus	Blood	not applicable	not available	A_proteomics-based_method_for_identifying_antigens_within_immune_complexes	Blood	Blood	not available	not available	not available	not available	1	allSpectra.HCD.ITMS.iso_1050.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	allSpectra.HCD.ITMS.iso_1050.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood
allSpectra.HCD.ITMS.iso_1070.apl	allSpectra.HCD.ITMS.iso_1070.apl	Betainfluenzavirus	Blood	not applicable	not available	A_proteomics-based_method_for_identifying_antigens_within_immune_complexes	Blood	Blood	not available	not available	not available	not available	1	allSpectra.HCD.ITMS.iso_1070.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	allSpectra.HCD.ITMS.iso_1070.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood
allSpectra.HCD.ITMS.iso_121.apl	allSpectra.HCD.ITMS.iso_121.apl	Betainfluenzavirus	Blood	not applicable	not available	A_proteomics-based_method_for_identifying_antigens_within_immune_complexes	Blood	Blood	not available	not available	not available	not available	1	allSpectra.HCD.ITMS.iso_121.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	allSpectra.HCD.ITMS.iso_121.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood
allSpectra.HCD.ITMS.iso_124.apl	allSpectra.HCD.ITMS.iso_124.apl	Betainfluenzavirus	Blood	not applicable	not available	A_proteomics-based_method_for_identifying_antigens_within_immune_complexes	Blood	Blood	not available	not available	not available	not available	1	allSpectra.HCD.ITMS.iso_124.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	allSpectra.HCD.ITMS.iso_124.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood
allSpectra.HCD.ITMS.iso_135.apl	allSpectra.HCD.ITMS.iso_135.apl	Betainfluenzavirus	Blood	not applicable	not available	A_proteomics-based_method_for_identifying_antigens_within_immune_complexes	Blood	Blood	not available	not available	not available	not available	1	allSpectra.HCD.ITMS.iso_135.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	allSpectra.HCD.ITMS.iso_135.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood
allSpectra.HCD.ITMS.iso_153.apl	allSpectra.HCD.ITMS.iso_153.apl	Betainfluenzavirus	Blood	not applicable	not available	A_proteomics-based_method_for_identifying_antigens_within_immune_complexes	Blood	Blood	not available	not available	not available	not available	1	allSpectra.HCD.ITMS.iso_153.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	allSpectra.HCD.ITMS.iso_153.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Blood
