source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Wang_etal_2024_IPMS_Sgo1_2A_Rep1	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_Sgo1_2A_Rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_Sgo1_2A_Rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_Sgo1_2A_Rep2	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_Sgo1_2A_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_Sgo1_2A_Rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_Sgo1_2A_Rep3	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_Sgo1_2A_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_Sgo1_2A_Rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_Sgo1_2A_Rep4	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_Sgo1_2A_Rep4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_Sgo1_2A_Rep4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_Sgo1_2A_Rep5	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_Sgo1_2A_Rep5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_Sgo1_2A_Rep5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_Sgo1_2E_Rep1	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_Sgo1_2E_Rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_Sgo1_2E_Rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_Sgo1_2E_Rep2	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_Sgo1_2E_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_Sgo1_2E_Rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_Sgo1_2E_Rep3	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_Sgo1_2E_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_Sgo1_2E_Rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_Sgo1_2E_Rep4	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_Sgo1_2E_Rep4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_Sgo1_2E_Rep4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_Sgo1_2E_Rep5	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_Sgo1_2E_Rep5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_Sgo1_2E_Rep5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_WT_Rep1	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_WT_Rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_WT_Rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_WT_Rep2	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_WT_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_WT_Rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_WT_Rep3	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_WT_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_WT_Rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_WT_Rep4	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_WT_Rep4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_WT_Rep4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_WT_Rep5	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_WT_Rep5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_WT_Rep5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_Ycg1_4A_Rep1	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_Ycg1_4A_Rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_Ycg1_4A_Rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_Ycg1_4A_Rep2	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_Ycg1_4A_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_Ycg1_4A_Rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_Ycg1_4A_Rep3	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_Ycg1_4A_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_Ycg1_4A_Rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_Ycg1_4A_Rep4	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_Ycg1_4A_Rep4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_Ycg1_4A_Rep4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_Ycg1_4A_Rep5	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_Ycg1_4A_Rep5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_Ycg1_4A_Rep5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_notag_Rep1	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_notag_Rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_notag_Rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_notag_Rep2	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_notag_Rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_notag_Rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
Wang_etal_2024_IPMS_notag_Rep3	Saccharomyces cerevisiae	cell culture	not available	1	Wang_etal_2024_IPMS_notag_Rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Wang_etal_2024_IPMS_notag_Rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell culture
