source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[age]
pooled_neonate	Homo sapiens	Blood plasma	normal	1	neonate	150307_P17458_Group1_IDA_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	150307_P17458_Group1_IDA_1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	neonate
pooled_lt1y	Homo sapiens	Blood plasma	normal	1	<1 year	150307_P17458_Group2_IDA_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	150307_P17458_Group2_IDA_1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	<1 year
pooled_1to5y	Homo sapiens	Blood plasma	normal	1	1-5 years	150307_P17458_Group3_IDA_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	150307_P17458_Group3_IDA_1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	1-5 years
pooled_adult	Homo sapiens	Blood plasma	normal	1	adult	150307_P17458_Group4_IDA_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	150307_P17458_Group4_IDA_1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	adult
