source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[material type]	characteristics[biological replicate]	characteristics[ancestry category]	characteristics[sample composition]	characteristics[sampling date]	characteristics[sperm count]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[file uri]	comment[tool metadata]	factor value[organism part]
B1_R1	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	1	not available	spermatozoa	13/10/2023	125000000	run 1	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00899_1p_Ionopticks3_PM3_CMB-1435_KRGEV_1.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
B2_R2	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	2	not available	spermatozoa	20/10/2023	270000000	run 2	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00901_1p_Ionopticks3_PM3_CMB-1435_KRGEV_2.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
B3_R3	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	3	not available	spermatozoa	24/10/2023	740000000	run 3	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00903_1p_Ionopticks3_PM3_CMB-1435_KRGEV_3.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
B4_R4	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	4	not available	spermatozoa	27/10/2023	150000000	run 4	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00905_1p_Ionopticks3_PM3_CMB-1435_KRGEV_4.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
B1_R5	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	5	not available	spermatozoa	31/10/2023	285000000	run 5	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00907_1p_Ionopticks3_PM3_CMB-1435_KRGEV_5.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
B2_R1	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	1	not available	spermatozoa	13/10/2023	130000000	run 6	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00909_1p_Ionopticks3_PM3_CMB-1435_KRGEV_6.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
B3_R2	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	2	not available	spermatozoa	20/10/2023	315000000	run 7	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00911_1p_Ionopticks3_PM3_CMB-1435_KRGEV_7.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
B4_R3	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	3	not available	spermatozoa	24/10/2023	330000000	run 8	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00913_1p_Ionopticks3_PM3_CMB-1435_KRGEV_8.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
B1_R4	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	4	not available	spermatozoa	27/10/2023	270000000	run 9	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00915_1p_Ionopticks3_PM3_CMB-1435_KRGEV_9.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
B2_R5	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	5	not available	spermatozoa	31/10/2023	550000000	run 10	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00917_1p_Ionopticks3_PM3_CMB-1435_KRGEV_10.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
