source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[fractionation method]
PXD028348-170327_S_FAIV_01_01_45pto	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	normozoospermic-pool-170327	cell	1	run 170327_S_FAIV_01_01_45pto	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001581	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	01	01	170327_S_FAIV_01_01_45pto.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sperm-tail gel fraction 01
PXD028348-170327_S_FAIV_02_01_45pto	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	normozoospermic-pool-170327	cell	1	run 170327_S_FAIV_02_01_45pto	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001581	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	02	01	170327_S_FAIV_02_01_45pto.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sperm-tail gel fraction 02
PXD028348-170327_S_FAIV_03_01_45pto	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	normozoospermic-pool-170327	cell	1	run 170327_S_FAIV_03_01_45pto	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001581	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	03	01	170327_S_FAIV_03_01_45pto.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sperm-tail gel fraction 03
PXD028348-170704_S_FAIV_01_02_45pto	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	normozoospermic-pool-170704	cell	1	run 170704_S_FAIV_01_02_45pto	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001581	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	01	02	170704_S_FAIV_01_02_45pto.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sperm-tail gel fraction 01
PXD028348-170704_S_FAIV_02_01_45pto	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	normozoospermic-pool-170704	cell	1	run 170704_S_FAIV_02_01_45pto	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001581	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	02	01	170704_S_FAIV_02_01_45pto.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sperm-tail gel fraction 02
PXD028348-170704_S_FAIV_03_03_45pto	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	normozoospermic-pool-170704	cell	1	run 170704_S_FAIV_03_03_45pto	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001581	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	03	03	170704_S_FAIV_03_03_45pto.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sperm-tail gel fraction 03
PXD028348-170920_S_FAIV_01_01_45pto	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	normozoospermic-pool-170920	cell	1	run 170920_S_FAIV_01_01_45pto	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001581	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	01	01	170920_S_FAIV_01_01_45pto.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sperm-tail gel fraction 01
PXD028348-170920_S_FAIV_02_01_45pto	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	normozoospermic-pool-170920	cell	1	run 170920_S_FAIV_02_01_45pto	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001581	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	02	01	170920_S_FAIV_02_01_45pto.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sperm-tail gel fraction 02
PXD028348-170920_S_FAIV_03_01_45pto	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	normozoospermic-pool-170920	cell	1	run 170920_S_FAIV_03_01_45pto	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001581	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	03	01	170920_S_FAIV_03_01_45pto.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sperm-tail gel fraction 03
PXD028348-171113_S_FAIV_01_01_25pto	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	normozoospermic-pool-171113	cell	1	run 171113_S_FAIV_01_01_25pto	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001581	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.02 Da	01	01	171113_S_FAIV_01_01_25pto.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	sperm-tail gel fraction 01
