source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[material type]	characteristics[biological replicate]	characteristics[ancestry category]	characteristics[phenotype]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[cetuximab treatmemt]
20231131-A0908-0p5ug-6.raw	NT=Homo sapiens;AC=NCBITaxon:9606	oral cavity	epithelial	head and neck cancer	OECM-1	adult	not available	male	cell	1	Asian	Parental cell line (Control)	run 1	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=LTQ Orbitrap Elite	NT=label free sample;AC=MS:1002038	AC=MS:1001251;NT=Trypsin	10 ppm	0.5 Da	1	1	20231131-A0908-0p5ug-6.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	Parental cell line (Control)
20231131-A0908-0p5ug-7.raw	NT=Homo sapiens;AC=NCBITaxon:9606	oral cavity	epithelial	head and neck cancer	OECM-1	adult	not available	male	cell	1	Asian	treat cetuximab for 12 days	run 2	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=LTQ Orbitrap Elite	NT=label free sample;AC=MS:1002038	AC=MS:1001252;NT=Trypsin	10 ppm	0.5 Da	1	1	20231131-A0908-0p5ug-7.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	treat cetuximab for 12 days
20231131-A0908-0p5ug-8.raw	NT=Homo sapiens;AC=NCBITaxon:9606	oral cavity	epithelial	head and neck cancer	OECM-1	adult	not available	male	cell	1	Asian	treat cetuximab for 22 days	run 3	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=LTQ Orbitrap Elite	NT=label free sample;AC=MS:1002038	AC=MS:1001253;NT=Trypsin	10 ppm	0.5 Da	1	1	20231131-A0908-0p5ug-8.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	treat cetuximab for 22 days
20231131-A0908-0p5ug-9.raw	NT=Homo sapiens;AC=NCBITaxon:9606	oral cavity	epithelial	head and neck cancer	OECM-1	adult	not available	male	cell	1	Asian	treat cetuximab for 32 days	run 4	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=LTQ Orbitrap Elite	NT=label free sample;AC=MS:1002038	AC=MS:1001254;NT=Trypsin	10 ppm	0.5 Da	1	1	20231131-A0908-0p5ug-9.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	treat cetuximab for 32 days
20231131-A0908-0p5ug-10.raw	NT=Homo sapiens;AC=NCBITaxon:9606	oral cavity	epithelial	head and neck cancer	OECM-1	adult	not available	male	cell	1	Asian	treat cetuximab for 42 days	run 5	proteomic profiling by mass spectrometer	Data-dependent acquisition	NT=LTQ Orbitrap Elite	NT=label free sample;AC=MS:1002038	AC=MS:1001255;NT=Trypsin	10 ppm	0.5 Da	1	1	20231131-A0908-0p5ug-10.raw	v1.1.0	manual curation	NT=human;VV=v1.1.0	treat cetuximab for 42 days
