source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[phenotype]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
RC5	Sus scrofa	EVs from seminal plasma	healthy	not available	1	high_fertility	25NP03340001_RC5_1_27793.d.zip	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	trypsin	1	1	25NP03340001_RC5_1_27793.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RC6	Sus scrofa	EVs from seminal plasma	healthy	not available	2	high_fertility	25NP03340003_RC6_1_27794.d.zip	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	trypsin	1	1	25NP03340003_RC6_1_27794.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RC7	Sus scrofa	EVs from seminal plasma	healthy	not available	3	high_fertility	25NP03340005_RC7_1_27795.d.zip	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	trypsin	1	1	25NP03340005_RC7_1_27795.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RC8	Sus scrofa	EVs from seminal plasma	healthy	not available	4	high_fertility	25NP03340007_RC8_1_27796.d.zip	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	trypsin	1	1	25NP03340007_RC8_1_27796.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RD1	Sus scrofa	EVs from seminal plasma	healthy	not available	5	high_fertility	25NP03340009_RD1_1_27798.d.zip	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	trypsin	1	1	25NP03340009_RD1_1_27798.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RD2	Sus scrofa	EVs from seminal plasma	healthy	not available	6	high_fertility	25NP03340011_RD2_1_27799.d.zip	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	trypsin	1	1	25NP03340011_RD2_1_27799.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RD3	Sus scrofa	EVs from seminal plasma	healthy	not available	1	reduced_fertility	25NP03340013_RD3_1_27800.d.zip	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	trypsin	1	1	25NP03340013_RD3_1_27800.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RD4	Sus scrofa	EVs from seminal plasma	healthy	not available	2	reduced_fertility	25NP03340015_RD4_1_27801.d.zip	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	trypsin	1	1	25NP03340015_RD4_1_27801.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RD5	Sus scrofa	EVs from seminal plasma	healthy	not available	3	reduced_fertility	25NP03340017_RD5_1_27802.d.zip	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	trypsin	1	1	25NP03340017_RD5_1_27802.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RD6	Sus scrofa	EVs from seminal plasma	healthy	not available	4	reduced_fertility	25NP03340019_RD6_1_27804.d.zip	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	trypsin	1	1	25NP03340019_RD6_1_27804.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RD7	Sus scrofa	EVs from seminal plasma	healthy	not available	5	reduced_fertility	25NP03340021_RD7_1_27805.d.zip	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	trypsin	1	1	25NP03340021_RD7_1_27805.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RD8	Sus scrofa	EVs from seminal plasma	healthy	not available	6	reduced_fertility	25NP03340023_RD8_1_27806.d.zip	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	trypsin	1	1	25NP03340023_RD8_1_27806.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
