source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[instrument]	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
pWPI1	Homo sapiens	mouth, gingiva	keratinocytes�	not available	Normal	Normal oral keratinocyte	1	not applicable	not available	not applicable	pWPI1	proteomic profiling by mass spectrometry	1	20210730_pWPI1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Normal
pWPI2	Homo sapiens	mouth, gingiva	keratinocytes�	not available	Normal	Normal oral keratinocyte	2	not applicable	not available	not applicable	pWPI2	proteomic profiling by mass spectrometry	1	20210730_pWPI2.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002733	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Normal
pWPI3	Homo sapiens	mouth, gingiva	keratinocytes�	not available	Normal	Normal oral keratinocyte	3	not applicable	not available	not applicable	pWPI3	proteomic profiling by mass spectrometry	1	20210730_pWPI3.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002734	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Normal
pWPI4	Homo sapiens	mouth, gingiva	keratinocytes�	not available	Normal	Normal oral keratinocyte	4	not applicable	not available	not applicable	pWPI4	proteomic profiling by mass spectrometry	1	20210730_pWPI4_20210805171335.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002735	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Normal
16_1_control	Homo sapiens	mouth, gingiva	keratinocytes�	not available	HPV16-positive	Normal oral keratinocyte	1	not applicable	not available	not applicable	16_1_control	proteomic profiling by mass spectrometry	1	20210730_16_1_control.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002736	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HPV16-positive
16_2_control	Homo sapiens	mouth, gingiva	keratinocytes�	not available	HPV16-positive	Normal oral keratinocyte	2	not applicable	not available	not applicable	16_2_control	proteomic profiling by mass spectrometry	1	20210730_16_2_control.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002737	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HPV16-positive
16_3_control	Homo sapiens	mouth, gingiva	keratinocytes�	not available	HPV16-positive	Normal oral keratinocyte	3	not applicable	not available	not applicable	16_3_control	proteomic profiling by mass spectrometry	1	20210730_16_3_control.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002738	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HPV16-positive
16_4_control	Homo sapiens	mouth, gingiva	keratinocytes�	not available	HPV16-positive	Normal oral keratinocyte	4	not applicable	not available	not applicable	16_4_control	proteomic profiling by mass spectrometry	1	20210730_16_4_control.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HPV16-positive
16_1_AA	Homo sapiens	mouth, gingiva	keratinocytes�	not available	HPV16-positive	Normal oral keratinocyte	1	not applicable	not available	not applicable	16_1_AA	proteomic profiling by mass spectrometry	1	20210730_16_1_AA.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002740	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HPV16-positive
16_2_AA	Homo sapiens	mouth, gingiva	keratinocytes�	not available	HPV16-positive	Normal oral keratinocyte	2	not applicable	not available	not applicable	16_2_AA	proteomic profiling by mass spectrometry	1	20210730_16_2_AA.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002741	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HPV16-positive
16_3_AA	Homo sapiens	mouth, gingiva	keratinocytes�	not available	HPV16-positive	Normal oral keratinocyte	3	not applicable	not available	not applicable	16_3_AA	proteomic profiling by mass spectrometry	1	20210730_16_3_AA.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002742	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HPV16-positive
16_4_AA	Homo sapiens	mouth, gingiva	keratinocytes�	not available	HPV16-positive	Normal oral keratinocyte	4	not applicable	not available	not applicable	16_4_AA	proteomic profiling by mass spectrometry	1	20210730_16_4_AA_20210805135404.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002743	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HPV16-positive
16_1_AAMG	Homo sapiens	mouth, gingiva	keratinocytes�	not available	HPV16-positive	Normal oral keratinocyte	1	not applicable	not available	not applicable	16_1_AAMG	proteomic profiling by mass spectrometry	1	20210730_16_1_AAMG.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002744	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HPV16-positive
16_2_AAMG	Homo sapiens	mouth, gingiva	keratinocytes�	not available	HPV16-positive	Normal oral keratinocyte	2	not applicable	not available	not applicable	16_2_AAMG	proteomic profiling by mass spectrometry	1	20210730_16_2_AAMG.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002745	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HPV16-positive
16_3_AAMG	Homo sapiens	mouth, gingiva	keratinocytes�	not available	HPV16-positive	Normal oral keratinocyte	3	not applicable	not available	not applicable	16_3_AAMG	proteomic profiling by mass spectrometry	1	20210730_16_3_AAMG.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002746	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HPV16-positive
16_4_AAMG	Homo sapiens	mouth, gingiva	keratinocytes�	not available	HPV16-positive	Normal oral keratinocyte	4	not applicable	not available	not applicable	16_4_AAMG	proteomic profiling by mass spectrometry	1	20210730_16_4_AAMG.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Orbitrap Fusion Lumos;AC=MS:1002747	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	HPV16-positive
