source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
HOT_335_CTD14_15N_28	HOT_335_CTD14_15N_28	marine metagenome	sea water	not applicable	not available	HOT335_15N2-tracking_Metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HOT_335_CTD14_15N_28	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	HOT_335_CTD14_15N_28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
HOT_335_CTD14_15N_29	HOT_335_CTD14_15N_29	marine metagenome	sea water	not applicable	not available	HOT335_15N2-tracking_Metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HOT_335_CTD14_15N_29	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	HOT_335_CTD14_15N_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
HOT_335_CTD14_15N_32	HOT_335_CTD14_15N_32	marine metagenome	sea water	not applicable	not available	HOT335_15N2-tracking_Metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HOT_335_CTD14_15N_32	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	HOT_335_CTD14_15N_32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
HOT_335_CTD14_NA_26	HOT_335_CTD14_NA_26	marine metagenome	sea water	not applicable	not available	HOT335_15N2-tracking_Metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HOT_335_CTD14_NA_26	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	HOT_335_CTD14_NA_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
HOT_335_CTD14_NA_27	HOT_335_CTD14_NA_27	marine metagenome	sea water	not applicable	not available	HOT335_15N2-tracking_Metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HOT_335_CTD14_NA_27	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	HOT_335_CTD14_NA_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
HOT_335_CTD14_t0_103	HOT_335_CTD14_t0_103	marine metagenome	sea water	not applicable	not available	HOT335_15N2-tracking_Metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HOT_335_CTD14_t0_103	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	HOT_335_CTD14_t0_103.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
HOT_335_CTD7_15N_12	HOT_335_CTD7_15N_12	marine metagenome	sea water	not applicable	not available	HOT335_15N2-tracking_Metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HOT_335_CTD7_15N_12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	HOT_335_CTD7_15N_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
HOT_335_CTD7_15N_5	HOT_335_CTD7_15N_5	marine metagenome	sea water	not applicable	not available	HOT335_15N2-tracking_Metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HOT_335_CTD7_15N_5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	HOT_335_CTD7_15N_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
HOT_335_CTD7_15N_8	HOT_335_CTD7_15N_8	marine metagenome	sea water	not applicable	not available	HOT335_15N2-tracking_Metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HOT_335_CTD7_15N_8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	HOT_335_CTD7_15N_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
HOT_335_CTD7_NA_2	HOT_335_CTD7_NA_2	marine metagenome	sea water	not applicable	not available	HOT335_15N2-tracking_Metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HOT_335_CTD7_NA_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	HOT_335_CTD7_NA_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
HOT_335_CTD7_NA_3	HOT_335_CTD7_NA_3	marine metagenome	sea water	not applicable	not available	HOT335_15N2-tracking_Metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	HOT_335_CTD7_NA_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	HOT_335_CTD7_NA_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
