source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20141205_034_Dalg5_cw_2	saccharomyces cerevisiae	not available	not applicable	not available	2	20141205_034_Dalg5_cw_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_034_Dalg5_cw_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_034_Dalg5_cw_2.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_008_Dost3_cw_4	saccharomyces cerevisiae	not available	not applicable	not available	4	20141205_008_Dost3_cw_4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_008_Dost3_cw_4.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_008_Dost3_cw_4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_027_Ddie2_cw_3	saccharomyces cerevisiae	not available	not applicable	not available	3	20141205_027_Ddie2_cw_3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_027_Ddie2_cw_3.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_027_Ddie2_cw_3.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_015_Dost6_cw_3	saccharomyces cerevisiae	not available	not applicable	not available	3	20141205_015_Dost6_cw_3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_015_Dost6_cw_3.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_015_Dost6_cw_3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_052_Dalg12_cw_3	saccharomyces cerevisiae	not available	not applicable	not available	3	20141205_052_Dalg12_cw_3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_052_Dalg12_cw_3.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_052_Dalg12_cw_3.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_049_Dalg12_cw_2_IDAforSWATH	saccharomyces cerevisiae	not available	not applicable	not available	1	20141205_049_Dalg12_cw_2_IDAforSWATH	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_049_Dalg12_cw_2_IDAforSWATH.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_049_Dalg12_cw_2_IDAforSWATH.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_035_Dalg5_cw_3	saccharomyces cerevisiae	not available	not applicable	not available	3	20141205_035_Dalg5_cw_3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_035_Dalg5_cw_3.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_035_Dalg5_cw_3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_050_Dalg12_cw_2	saccharomyces cerevisiae	not available	not applicable	not available	2	20141205_050_Dalg12_cw_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_050_Dalg12_cw_2.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_050_Dalg12_cw_2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_040_Dalg6_cw_4	saccharomyces cerevisiae	not available	not applicable	not available	4	20141205_040_Dalg6_cw_4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_040_Dalg6_cw_4.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_040_Dalg6_cw_4.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_010_Dost5_cw_2	saccharomyces cerevisiae	not available	not applicable	not available	2	20141205_010_Dost5_cw_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_010_Dost5_cw_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_010_Dost5_cw_2.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_039_Dalg6_cw_3	saccharomyces cerevisiae	not available	not applicable	not available	3	20141205_039_Dalg6_cw_3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_039_Dalg6_cw_3.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_039_Dalg6_cw_3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_046_Dalg9_cw_2	saccharomyces cerevisiae	not available	not applicable	not available	2	20141205_046_Dalg9_cw_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_046_Dalg9_cw_2.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_046_Dalg9_cw_2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_044_Dalg8_cw_4	saccharomyces cerevisiae	not available	not applicable	not available	4	20141205_044_Dalg8_cw_4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_044_Dalg8_cw_4.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_044_Dalg8_cw_4.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_012_Dost5_cw_4	saccharomyces cerevisiae	not available	not applicable	not available	4	20141205_012_Dost5_cw_4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_012_Dost5_cw_4.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_012_Dost5_cw_4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_001_BY4741_cw_2_IDAforSWATH	saccharomyces cerevisiae	not available	not applicable	not available	1	20141205_001_BY4741_cw_2_IDAforSWATH	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_001_BY4741_cw_2_IDAforSWATH.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_001_BY4741_cw_2_IDAforSWATH.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_032_Dalg3_cw_4	saccharomyces cerevisiae	not available	not applicable	not available	4	20141205_032_Dalg3_cw_4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_032_Dalg3_cw_4.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_032_Dalg3_cw_4.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_048_Dalg9_cw_4	saccharomyces cerevisiae	not available	not applicable	not available	4	20141205_048_Dalg9_cw_4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_048_Dalg9_cw_4.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_048_Dalg9_cw_4.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_003_BY4741_cw_3	saccharomyces cerevisiae	not available	not applicable	not available	3	20141205_003_BY4741_cw_3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_003_BY4741_cw_3.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_003_BY4741_cw_3.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_025_Ddie2_cw_2_IDAforSWATH	saccharomyces cerevisiae	not available	not applicable	not available	1	20141205_025_Ddie2_cw_2_IDAforSWATH	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_025_Ddie2_cw_2_IDAforSWATH.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_025_Ddie2_cw_2_IDAforSWATH.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_016_Dost6_cw_4	saccharomyces cerevisiae	not available	not applicable	not available	4	20141205_016_Dost6_cw_4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_016_Dost6_cw_4.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_016_Dost6_cw_4.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_013_Dost6_cw_2_IDAforSWATH	saccharomyces cerevisiae	not available	not applicable	not available	1	20141205_013_Dost6_cw_2_IDAforSWATH	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_013_Dost6_cw_2_IDAforSWATH.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_013_Dost6_cw_2_IDAforSWATH.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_029_Dalg3_cw_2_IDAforSWATH	saccharomyces cerevisiae	not available	not applicable	not available	1	20141205_029_Dalg3_cw_2_IDAforSWATH	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_029_Dalg3_cw_2_IDAforSWATH.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_029_Dalg3_cw_2_IDAforSWATH.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_002_BY4741_cw_2	saccharomyces cerevisiae	not available	not applicable	not available	2	20141205_002_BY4741_cw_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_002_BY4741_cw_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_002_BY4741_cw_2.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
