source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[material type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[treatment]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
HEK293_EGFP_rep1	Homo sapiens	brain	normal	not available	HEK293	CVCL_0045	cell	not available	not available	female	not available	1	EGFP	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s01_EGFP_1_25p	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s01_EGFP_1_25p.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	EGFP
HEK293_EGFP_rep2	Homo sapiens	brain	normal	not available	HEK293	CVCL_0045	cell	not available	not available	female	not available	2	EGFP	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s02_EGFP_2_25p	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s02_EGFP_2_25p.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	EGFP
HEK293_EGFP_rep3	Homo sapiens	brain	normal	not available	HEK293	CVCL_0045	cell	not available	not available	female	not available	3	EGFP	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s03_EGFP_3_25p	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s03_EGFP_3_25p.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	EGFP
HEK293_EGFP-MAST1-WT_rep1	Homo sapiens	brain	normal	not available	HEK293	CVCL_0045	cell	not available	not available	female	not available	1	EGFP-MAST1-WT	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s04_EGFP_MAST1wt_1_25p	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s04_EGFP_MAST1wt_1_25p.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	EGFP-MAST1-WT
HEK293_EGFP-MAST1-WT_rep2	Homo sapiens	brain	normal	not available	HEK293	CVCL_0045	cell	not available	not available	female	not available	2	EGFP-MAST1-WT	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s05_EGFP_MAST1wt_2_20p	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s05_EGFP_MAST1wt_2_20p.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	EGFP-MAST1-WT
HEK293_EGFP-MAST1-WT_rep3	Homo sapiens	brain	normal	not available	HEK293	CVCL_0045	cell	not available	not available	female	not available	3	EGFP-MAST1-WT	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s06_EGFP_MAST1wt_3_15p	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s06_EGFP_MAST1wt_3_15p.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	EGFP-MAST1-WT
HEK293_EGFP-MAST1-S90A-S161A_rep1	Homo sapiens	brain	normal	not available	HEK293	CVCL_0045	cell	not available	not available	female	not available	1	EGFP-MAST1-S90A-S161A	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s07_EGFP_MAST1mut_1_20p	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s07_EGFP_MAST1mut_1_20p.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	EGFP-MAST1-S90A-S161A
HEK293_EGFP-MAST1-S90A-S161A_rep2	Homo sapiens	brain	normal	not available	HEK293	CVCL_0045	cell	not available	not available	female	not available	2	EGFP-MAST1-S90A-S161A	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s08_EGFP_MAST1mut_2_15p	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s08_EGFP_MAST1mut_2_15p.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	EGFP-MAST1-S90A-S161A
HEK293_EGFP-MAST1-S90A-S161A_rep3	Homo sapiens	brain	normal	not available	HEK293	CVCL_0045	cell	not available	not available	female	not available	3	EGFP-MAST1-S90A-S161A	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s09_EGFP_MAST1mut_3_20p	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s09_EGFP_MAST1mut_3_20p.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	EGFP-MAST1-S90A-S161A
HEK293_EGFP-MAST1-deltaC_rep1	Homo sapiens	brain	normal	not available	HEK293	CVCL_0045	cell	not available	not available	female	not available	1	EGFP-MAST1-deltaC	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s10_EGFP_MAST1deltaC_1_20p	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20260209_Ec_N5_Antonioli_Leonard_MPL-MUW_MPLID26028_s10_EGFP_MAST1deltaC_1_20p.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	EGFP-MAST1-deltaC
