source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
ctrl_muscle_1	NT=Mus musculus;AC=NCBITaxon:10090	NT=skeletal muscle tissue;AC=UBERON:0001134	not available	not available	ctrl_muscle	1	run_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	1	C_Day14_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_muscle
ctrl_muscle_2	NT=Mus musculus;AC=NCBITaxon:10090	NT=skeletal muscle tissue;AC=UBERON:0001134	not available	not available	ctrl_muscle	2	run_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	1	C_Day14_1R.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_muscle
ctrl_muscle_3	NT=Mus musculus;AC=NCBITaxon:10090	NT=skeletal muscle tissue;AC=UBERON:0001134	not available	not available	ctrl_muscle	3	run_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	1	C_Day14_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_muscle
ctrl_muscle_4	NT=Mus musculus;AC=NCBITaxon:10090	NT=skeletal muscle tissue;AC=UBERON:0001134	not available	not available	ctrl_muscle	4	run_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	1	C_Day14_2R.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_muscle
ctrl_muscle_5	NT=Mus musculus;AC=NCBITaxon:10090	NT=skeletal muscle tissue;AC=UBERON:0001134	not available	not available	ctrl_muscle	5	run_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	1	C_Day14_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_muscle
ctrl_muscle_6	NT=Mus musculus;AC=NCBITaxon:10090	NT=skeletal muscle tissue;AC=UBERON:0001134	not available	not available	ctrl_muscle	6	run_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	1	C_Day14_3R.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_muscle
ctrl_muscle_7	NT=Mus musculus;AC=NCBITaxon:10090	NT=skeletal muscle tissue;AC=UBERON:0001134	not available	not available	ctrl_muscle	7	run_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	1	C_Day14_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_muscle
ctrl_muscle_8	NT=Mus musculus;AC=NCBITaxon:10090	NT=skeletal muscle tissue;AC=UBERON:0001134	not available	not available	ctrl_muscle	8	run_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	1	C_Day14_4R.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_muscle
ctrl_muscle_9	NT=Mus musculus;AC=NCBITaxon:10090	NT=skeletal muscle tissue;AC=UBERON:0001134	not available	not available	ctrl_muscle	9	run_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	1	C_Day14_5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_muscle
ctrl_muscle_10	NT=Mus musculus;AC=NCBITaxon:10090	NT=skeletal muscle tissue;AC=UBERON:0001134	not available	not available	ctrl_muscle	10	run_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	250 ppm	1	1	C_Day14_5R.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl_muscle
