source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[spiked compound]	characteristics[biological replicate]	characteristics[HiRIEF PH range]	characteristics[mass]	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD010899-Sample 1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	not available	run 1	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr01.raw	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample 1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	not available	run 2	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr02.raw	2	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample 1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	not available	run 3	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr03.raw	3	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample 1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	not available	run 4	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr04.raw	4	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample 1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	not available	run 5	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr05.raw	5	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample 1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	not available	run 6	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr06.raw	6	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample 1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	not available	run 7	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr07.raw	7	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample 1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	not available	run 8	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr08.raw	8	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample 1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	not available	run 9	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr09.raw	9	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample 1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	not available	run 10	proteomic profiling by mass spectrometer	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr10.raw	10	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable	4.5 ppm	20 ppm	Blood plasma
