source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms min mz]	comment[ms max mz]	comment[ms min im]	comment[ms max im]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism]
PXD055135-Sample-1	Severe acute respiratory syndrome coronavirus	not applicable	not applicable	not available	1	VirusID_Specificity_T1	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-18	1	1	VirusID_Specificity_T1.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Severe acute respiratory syndrome coronavirus
PXD055135-Sample-2	Severe acute respiratory syndrome coronavirus 2	not applicable	not applicable	not available	1	VirusID_Specificity_T2	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-18	1	1	VirusID_Specificity_T2.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Severe acute respiratory syndrome coronavirus 2
PXD055135-Sample-3	Middle East respiratory syndrome-related coronavirus	not applicable	not applicable	not available	1	VirusID_Specificity_T3	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-18	1	1	VirusID_Specificity_T3.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Middle East respiratory syndrome-related coronavirus
PXD055135-Sample-4	Influenza A virus	not applicable	not applicable	not available	1	VirusID_Specificity_T4	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-20	1	1	VirusID_Specificity_T4.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Influenza A virus
PXD055135-Sample-5	Human coronavirus 229E	not applicable	not applicable	not available	1	VirusID_Specificity_T5	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-18	1	1	VirusID_Specificity_T5.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Human coronavirus 229E
PXD055135-Sample-6	dengue virus type 1	not applicable	not applicable	not available	1	VirusID_Specificity_T6	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-18	1	1	VirusID_Specificity_T6.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	dengue virus type 1
PXD055135-Sample-7	Human coronavirus OC43	not applicable	not applicable	not available	1	VirusID_Specificity_T7	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-18	1	1	VirusID_Specificity_T7.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Human coronavirus OC43
PXD055135-Sample-8	Orthopoxvirus vaccinia	not applicable	not applicable	not available	1	VirusID_Specificity_T8	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-18	1	1	VirusID_Specificity_T8.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Orthopoxvirus vaccinia
PXD055135-Sample-9	Cowpox virus	not applicable	not applicable	not available	1	VirusID_Specificity_T9	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-18	1	1	VirusID_Specificity_T9.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cowpox virus
PXD055135-Sample-10	Mammarenavirus lassaense	not applicable	not applicable	not available	1	VirusID_Specificity_T10	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-05-16	1	1	VirusID_Specificity_T10.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Mammarenavirus lassaense
