source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms min mz]	comment[ms max mz]	comment[ms min im]	comment[ms max im]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
PXD055135-Sample-28	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	1	VirusID_SARS-CoV-2_P1_1-16-2023_569	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P1_1-16-2023_569.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-29	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	2	VirusID_SARS-CoV-2_P2_1-16-2023_570	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P2_1-16-2023_570.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-30	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	3	VirusID_SARS-CoV-2_P3_1-16-2023_571	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P3_1-16-2023_571.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-31	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	4	VirusID_SARS-CoV-2_P4_1-16-2023_572	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P4_1-16-2023_572.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-32	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	5	VirusID_SARS-CoV-2_P5_1-16-2023_573	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P5_1-16-2023_573.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-33	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	6	VirusID_SARS-CoV-2_P6_1-16-2023_574	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P6_1-16-2023_574.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-34	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	7	VirusID_SARS-CoV-2_P7_1-16-2023_575	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P7_1-16-2023_575.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-35	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	8	VirusID_SARS-CoV-2_P8_1-16-2023_576	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P8_1-16-2023_576.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-36	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	9	VirusID_SARS-CoV-2_P9_1-16-2023_577	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P9_1-16-2023_577.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-37	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	10	VirusID_SARS-CoV-2_P10_1-16-2023_578	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P10_1-16-2023_578.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-38	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	11	VirusID_SARS-CoV-2_P11_1-16-2023_579	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P11_1-16-2023_579.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
